business_key;business_id;status;effective_from;effective_till
9836327;4269;F;'2020-11-16 15:51:14.381';
9836506;4270;F;'2020-11-16 18:06:14.439';
9836997;4285;T;'2020-11-17 01:04:47.215';
9320921;796;P;'2020-02-13 11:59:07.064';
9487887;3503;P;'2020-05-06 12:57:42.536';
9592316;3710;P;'2020-07-01 01:32:20.623';'2020-11-08 06:16:57.434'
9824005;3799;R;'2020-11-07 01:15:00.093';
9597731;3815;P;'2020-07-02 21:21:52.540';
9783004;3845;P;'2020-10-06 13:20:24.713';'2020-11-06 18:04:25.650'
9790963;3836;P;'2020-10-12 13:31:08.315';'2020-11-08 06:47:57.514'
9783140;3935;P;'2020-10-06 15:17:53.258';'2020-11-06 17:56:56.665'
9823591;3935;O;'2020-11-06 17:56:56.665';'2020-11-07 01:15:00.162'
9824006;3935;R;'2020-11-07 01:15:00.162';
9822819;3936;O;'2020-11-06 01:00:34.232';'2020-11-07 01:15:00.207'
9824007;3936;R;'2020-11-07 01:15:00.207';
9823286;4060;O;'2020-11-06 12:01:53.491';'2020-11-06 16:02:30.184'
9823494;4060;P;'2020-11-06 16:02:30.184';
9805235;4256;T;'2020-10-23 12:43:57.537';'2020-11-06 11:51:45.831'
9823258;4256;F;'2020-11-06 11:51:45.831';
9823397;4274;T;'2020-11-06 13:43:45.816';
9630615;718;P;'2020-07-19 12:40:20.706';
7606819;563;S;'2016-01-29 02:11:41.943';
7829122;2131;S;'2018-09-23 14:21:53.230';'2019-01-08 01:02:43.232'
7841280;2148;S;'2018-10-03 13:06:00.579';'2019-01-09 07:12:02.229'
7941914;2260;S;'2018-12-07 09:27:07.378';'2018-12-07 10:17:07.391'
8101211;2357;S;'2019-02-04 17:50:49.283';'2019-04-01 02:01:10.133'
8129855;2405;S;'2019-02-20 09:16:19.885';'2019-04-08 02:01:30.538'
8204513;2512;S;'2019-03-26 22:00:46.288';'2019-03-26 22:06:26.410'
8313619;2642;S;'2019-05-26 21:25:25.202';'2019-06-19 15:42:35.628'
8316390;2646;S;'2019-05-28 22:49:50.073';'2019-06-19 15:42:35.628'
8653765;2974;S;'2019-08-29 23:06:09.518';'2019-09-23 03:12:37.749'
8725219;3067;S;'2019-09-25 01:57:49.679';
8735482;3078;S;'2019-09-29 00:18:31.804';
8744598;3090;S;'2019-10-02 00:10:13.725';
8781493;3141;S;'2019-10-15 00:46:51.068';'2019-10-16 00:49:35.714'
8831929;3144;S;'2019-11-04 03:00:31.659';
8971862;3292;S;'2019-12-09 02:00:04.244';'2020-02-10 03:30:59.974'
8982014;3333;S;'2019-12-12 12:24:02.229';
9032637;3396;S;'2020-01-02 23:11:43.314';'2020-01-02 23:17:07.731'
9102034;2136;S;'2020-01-27 03:31:26.554';
9113115;3488;S;'2020-01-29 12:09:50.830';
9113978;3491;S;'2020-01-29 17:50:24.592';'2020-01-29 18:15:53.623'
9148389;3529;S;'2020-02-09 22:37:56.061';
9160566;2903;S;'2020-02-10 02:02:03.638';
9160715;2821;S;'2020-02-10 02:02:21.638';
9161081;2632;S;'2020-02-10 02:03:05.957';
9174753;776;S;'2020-02-10 03:00:34.229';
9174841;818;S;'2020-02-10 03:01:48.442';
9174870;830;S;'2020-02-10 03:02:11.000';
9175340;1014;S;'2020-02-10 03:08:13.655';
9175366;1024;S;'2020-02-10 03:08:34.346';
9175382;1031;S;'2020-02-10 03:08:49.288';
9175442;1054;S;'2020-02-10 03:09:39.352';
9175813;1201;S;'2020-02-10 03:14:45.043';
9175971;1295;F;'2020-02-10 03:17:05.905';
9176215;1387;S;'2020-02-10 03:20:51.812';
9176409;3248;S;'2020-02-10 03:24:34.556';
9287030;3501;T;'2020-02-10 16:27:07.841';'2020-02-10 17:27:09.813'
9342505;3543;S;'2020-02-14 18:20:53.333';
9428317;3626;S;'2020-03-17 00:47:14.474';
9447622;3585;F;'2020-03-29 20:04:00.619';
9476416;3658;S;'2020-04-26 23:48:53.706';'2020-06-21 18:01:48.779'
9522728;3709;S;'2020-05-28 14:27:04.851';
9543759;3724;S;'2020-06-07 21:43:54.315';
9572945;3849;S;'2020-06-22 22:09:24.323';
9575419;3874;S;'2020-06-23 21:44:30.279';'2020-06-24 19:53:12.318'
9582922;3905;S;'2020-06-26 23:13:10.465';
9603917;3967;S;'2020-07-06 09:18:06.217';
9609511;3992;S;'2020-07-08 21:39:45.202';
9612496;4001;S;'2020-07-10 03:08:26.426';
9613027;4004;S;'2020-07-10 10:45:26.608';
9620647;4024;S;'2020-07-14 15:25:47.593';'2020-08-27 00:47:51.532'
9685474;3839;F;'2020-08-05 12:26:04.058';
9695070;4095;S;'2020-08-11 00:48:19.508';
9760488;4197;S;'2020-09-20 20:40:45.579';
9813497;1976;O;'2020-10-29 12:20:58.236';'2020-10-31 11:55:49.570'
9816329;1976;P;'2020-10-31 11:55:49.570';
9815398;4152;F;'2020-10-30 16:55:37.248';
9804546;4229;F;'2020-10-22 22:40:11.237';
9815996;4246;F;'2020-10-31 01:35:37.283';
9299929;2842;P;'2020-02-13 02:00:37.041';
9806453;3730;O;'2020-10-24 12:58:54.288';'2020-10-29 19:47:04.280'
9575520;3794;P;'2020-06-23 22:30:41.879';'2020-10-30 01:15:00.072'
9814541;3794;R;'2020-10-30 01:15:00.072';
9775117;4188;P;'2020-09-30 18:39:11.089';'2020-10-30 01:00:58.884'
9814290;4242;F;'2020-10-29 23:01:57.199';
9813057;4262;T;'2020-10-28 23:10:31.108';'2020-10-29 10:40:12.009'
9813391;4262;F;'2020-10-29 10:40:12.009';
8408378;1176;S;'2019-06-19 15:42:35.628';'2020-02-10 03:13:51.863'
9175750;1176;S;'2020-02-10 03:13:51.863';
8408218;2444;S;'2019-06-19 15:42:35.628';'2020-02-10 02:03:44.868'
9161389;2444;S;'2020-02-10 02:03:44.868';
8325091;2659;S;'2019-06-01 20:25:04.191';'2019-06-19 15:42:35.628'
8408481;2659;S;'2019-06-19 15:42:35.628';'2020-01-02 18:05:18.285'
8695665;2879;S;'2019-09-16 03:05:39.104';'2020-02-03 03:24:17.299'
9127098;2879;S;'2020-02-03 03:24:17.299';
8040965;2200;S;'2019-01-13 12:13:11.083';'2019-01-14 04:13:00.360'
8568718;2880;S;'2019-07-28 03:58:05.862';'2019-07-29 02:00:01.311'
9160610;2880;S;'2020-02-10 02:02:08.773';
8046173;2200;S;'2019-01-14 04:13:00.360';'2019-01-14 23:13:00.415'
8887807;2926;S;'2019-11-11 02:00:45.411';'2020-01-20 03:03:48.544'
8051184;2200;S;'2019-01-14 23:13:00.415';'2019-01-15 01:13:01.506'
8051907;2200;S;'2019-01-15 01:13:01.506';'2019-03-04 02:00:02.610'
8154569;2200;S;'2019-03-04 02:00:02.610';'2019-04-29 02:01:15.561'
9100226;2926;S;'2020-01-27 02:01:48.114';'2020-02-03 03:26:27.294'
8272045;2200;S;'2019-04-29 02:01:15.561';'2020-02-10 02:04:35.719'
9161764;2200;S;'2020-02-10 02:04:35.719';
7893912;2201;S;'2018-11-08 17:54:02.761';'2019-01-09 07:11:12.573'
8002794;2201;S;'2019-01-09 07:11:12.573';'2019-01-09 11:11:11.290'
8042061;2201;S;'2019-01-13 15:12:52.988';'2019-01-14 03:13:02.159'
8001322;2260;B;'2019-01-09 04:12:02.690';'2019-01-09 05:10:11.814'
8001908;2260;B;'2019-01-09 05:10:11.814';'2019-01-09 17:10:20.163'
8007588;2260;B;'2019-01-09 17:10:20.163';'2019-01-10 07:10:32.048'
8020189;2260;B;'2019-01-11 01:11:11.370';'2019-01-11 03:10:50.976'
8024375;2260;B;'2019-01-11 09:11:43.791';'2019-01-12 02:12:30.758'
8037188;2260;B;'2019-01-13 01:12:54.554';'2019-01-13 02:13:01.364'
8037420;2260;B;'2019-01-13 02:13:01.364';'2019-01-13 06:12:53.274'
8038885;2260;B;'2019-01-13 06:12:53.274';'2019-01-13 14:11:42.663'
8055896;2260;B;'2019-01-15 13:13:10.906';'2019-01-16 09:37:50.692'
8062034;2260;B;'2019-01-16 14:37:21.333';'2019-01-17 03:36:40.698'
8138438;2260;B;'2019-02-25 02:02:21.392';'2019-03-11 02:00:32.805'
8214904;2260;B;'2019-04-01 02:01:12.983';'2019-05-31 18:01:54.427'
9056255;2260;B;'2020-01-13 03:12:17.225';'2020-01-20 02:03:58.697'
9076947;2260;B;'2020-01-20 02:03:58.697';'2020-01-27 03:35:19.043'
9161703;2260;B;'2020-02-10 02:04:26.088';
7941989;2261;S;'2018-12-07 11:20:39.023';'2018-12-10 17:47:25.474'
7948331;2261;P;'2018-12-11 10:03:35.507';'2018-12-19 10:09:09.274'
8018007;2274;S;'2019-01-10 18:10:50.158';'2019-01-11 09:12:44.609'
8024392;2274;S;'2019-01-11 09:12:44.609';'2019-01-11 12:13:04.241'
8026121;2274;S;'2019-01-11 12:13:04.241';'2019-01-11 13:13:16.167'
8029308;2274;S;'2019-01-12 00:12:41.124';'2019-01-12 08:12:51.778'
8032919;2274;S;'2019-01-12 10:12:51.337';'2019-01-12 13:12:51.915'
8034014;2274;S;'2019-01-12 13:12:51.915';'2019-01-12 18:13:01.234'
8035156;2274;S;'2019-01-12 18:13:01.234';'2019-01-13 10:13:11.464'
8065594;2274;S;'2019-01-17 05:36:00.386';'2019-01-17 06:36:52.058'
8198288;2274;S;'2019-03-25 02:01:10.300';'2019-06-19 15:42:35.628'
9102154;2275;S;'2020-01-27 03:35:49.837';
7967559;2276;S;'2018-12-24 08:49:53.822';'2019-01-05 16:11:46.614'
7987331;2276;S;'2019-01-07 15:04:21.075';'2019-01-08 02:04:21.298'
9127117;2926;S;'2020-02-03 03:26:27.294';'2020-02-10 02:01:57.411'
7994391;2276;S;'2019-01-08 08:04:03.719';'2019-01-09 00:13:11.578'
7999540;2276;S;'2019-01-09 00:13:11.578';'2019-01-09 02:09:51.145'
9127170;582;S;'2020-02-03 03:29:48.452';
8408247;600;S;'2019-06-19 15:42:35.628';'2020-02-03 03:30:20.590'
8006519;2276;S;'2019-01-09 14:10:01.130';'2019-01-10 02:11:21.981'
9127186;600;S;'2020-02-03 03:30:20.590';
7609979;601;S;'2016-12-23 18:38:47.254';'2019-06-19 15:42:35.628'
8408248;601;S;'2019-06-19 15:42:35.628';'2020-02-03 03:30:22.608'
8010405;2276;S;'2019-01-10 02:11:21.981';'2019-01-10 11:11:41.513'
8019513;2276;S;'2019-01-10 23:10:50.939';'2019-01-11 14:10:43.066'
9127187;601;S;'2020-02-03 03:30:22.608';
8026716;2276;S;'2019-01-11 14:10:43.066';'2019-01-11 23:10:50.813'
8408249;602;S;'2019-06-19 15:42:35.628';'2019-07-07 22:00:42.579'
8525327;602;S;'2019-07-09 10:09:29.883';'2019-07-15 03:01:19.622'
8553743;602;S;'2019-07-22 03:01:21.755';'2019-08-05 02:05:21.987'
8591361;602;S;'2019-08-05 02:05:21.987';'2019-08-05 03:01:27.484'
8591469;602;S;'2019-08-05 03:01:27.484';'2019-08-12 02:06:06.273'
8607488;602;S;'2019-08-12 02:06:06.273';'2019-08-12 03:01:22.367'
8661733;602;S;'2019-09-02 02:06:16.404';'2019-09-02 03:01:38.239'
8661862;602;S;'2019-09-02 03:01:38.239';'2019-09-09 02:06:22.523'
8695527;602;S;'2019-09-16 02:06:11.811';'2019-09-16 03:12:01.850'
8717144;602;S;'2019-09-23 02:07:03.706';'2019-09-23 03:15:52.422'
8029296;2276;S;'2019-01-12 00:10:50.155';'2019-01-12 02:11:00.446'
8717372;602;S;'2019-09-23 03:15:52.422';'2019-09-30 02:06:19.859'
8758389;602;S;'2019-10-07 02:06:38.931';'2019-10-07 03:19:59.741'
8758606;602;S;'2019-10-07 03:19:59.741';'2019-10-14 02:06:14.364'
8794209;602;S;'2019-10-21 03:16:20.230';'2019-10-28 02:06:08.170'
8029812;2276;S;'2019-01-12 02:11:00.446';'2019-01-12 13:11:12.881'
8832047;602;S;'2019-11-04 03:18:24.362';'2019-11-11 02:06:12.209'
8887893;602;S;'2019-11-11 02:06:12.209';'2020-01-20 02:06:59.060'
9100392;602;S;'2020-01-27 02:07:14.567';'2020-02-03 03:30:24.476'
9127188;602;S;'2020-02-03 03:30:24.476';'2020-02-10 02:07:35.543'
8037785;2276;S;'2019-01-13 03:11:21.610';'2019-01-13 04:11:33.376'
7606461;603;S;'2017-01-04 16:09:59.605';'2019-06-19 15:42:35.628'
8688353;664;S;'2019-09-12 12:45:13.299';'2019-09-16 03:14:15.961'
9127259;664;S;'2020-02-03 03:32:30.754';
8048482;2276;S;'2019-01-14 14:13:00.535';'2019-01-14 19:56:11.391'
8020205;2280;S;'2019-01-11 01:12:11.359';'2019-01-11 07:11:42.855'
8033305;2280;S;'2019-01-12 11:11:21.599';'2019-01-12 17:10:50.853'
8037413;2280;S;'2019-01-13 02:12:40.821';'2019-01-13 04:11:22.989'
8038141;2280;S;'2019-01-13 04:11:22.989';'2019-01-13 06:12:43.129'
8038881;2280;S;'2019-01-13 06:12:43.129';'2019-01-13 07:11:45.058'
8041634;2280;S;'2019-01-13 14:12:00.982';'2019-01-13 17:12:01.198'
8055074;2280;S;'2019-01-15 10:12:20.477';'2019-02-18 02:02:00.448'
8124821;2280;S;'2019-02-18 02:02:00.448';'2019-03-04 02:00:11.575'
8154584;2280;S;'2019-03-04 02:00:11.575';'2019-03-21 13:32:21.495'
8191297;2280;S;'2019-03-21 13:32:21.495';'2019-03-25 16:12:42.084'
8200987;2280;S;'2019-03-25 16:12:42.084';'2019-06-19 15:42:35.628'
9056261;2280;S;'2020-01-13 03:12:54.623';'2020-01-27 03:35:59.125'
8042795;2310;S;'2019-01-13 17:13:00.438';'2019-01-13 20:13:00.640'
8048718;2310;S;'2019-01-14 15:13:10.782';'2019-01-15 17:12:10.917'
8056671;2310;S;'2019-01-15 17:12:10.917';'2019-01-15 21:13:40.488'
8057524;2310;S;'2019-01-15 21:13:40.488';'2019-01-16 23:37:50.215'
8154586;2310;S;'2019-03-04 02:00:11.900';'2019-06-19 15:42:35.628'
8408404;2310;S;'2019-06-19 15:42:35.628';'2020-02-10 02:04:16.610'
9161639;2310;S;'2020-02-10 02:04:16.610';
7605886;665;S;'2017-01-12 23:04:20.622';'2019-04-03 19:00:13.988'
9127276;681;S;'2020-02-03 03:33:06.516';
7608861;818;S;'2017-03-30 15:59:54.669';'2019-06-19 15:42:35.628'
8060809;2321;S;'2019-01-16 09:35:47.361';'2019-01-16 12:36:53.048'
8061572;2321;S;'2019-01-16 12:36:53.048';'2019-02-25 02:01:00.179'
8138423;2321;S;'2019-02-25 02:01:00.179';'2019-03-04 02:00:05.374'
8154580;2321;S;'2019-03-04 02:00:05.374';'2020-02-10 02:04:14.046'
8167991;2377;S;'2019-03-11 02:00:34.061';'2019-03-18 02:00:53.566'
8408418;2377;S;'2019-06-19 15:42:35.628';'2020-02-10 02:04:00.476'
9161515;2377;S;'2020-02-10 02:04:00.476';
8111868;2378;S;'2019-02-11 01:52:05.700';'2019-02-11 02:07:51.609'
8221220;2537;S;'2019-04-03 21:38:10.749';'2019-04-03 21:43:59.142'
8221228;2537;S;'2019-04-03 21:43:59.142';'2019-04-15 02:00:32.274'
8242319;2537;S;'2019-04-15 02:00:32.274';'2019-04-22 02:00:43.831'
8255896;2537;S;'2019-04-22 02:00:43.831';'2019-05-06 02:00:43.078'
8285162;2537;S;'2019-05-06 02:00:43.078';'2019-06-19 15:42:35.628'
8811056;2537;S;'2019-10-28 02:02:07.427';'2020-01-13 02:02:48.166'
9100289;2537;S;'2020-01-27 02:03:15.622';'2020-02-03 03:06:43.175'
8831942;2684;S;'2019-11-04 03:04:19.837';'2019-11-11 02:01:39.984'
8887849;2684;S;'2019-11-11 02:01:39.984';'2020-01-13 03:30:59.191'
9056372;2684;S;'2020-01-13 03:30:59.191';'2020-01-20 02:02:33.738'
9127020;2684;S;'2020-02-03 03:18:00.273';'2020-02-10 02:02:52.862'
9160977;2684;S;'2020-02-10 02:02:52.862';
8408494;2710;S;'2019-06-19 15:42:35.628';'2019-09-23 03:01:42.066'
8758362;2710;S;'2019-10-07 02:01:28.576';'2019-10-07 03:04:12.652'
9056378;2710;S;'2020-01-13 03:31:26.945';'2020-01-20 02:02:27.690'
9076895;2710;S;'2020-01-20 02:02:27.690';'2020-02-03 03:18:27.700'
8347081;2711;S;'2019-06-14 10:29:42.334';'2019-06-14 16:53:18.978'
9160771;2788;S;'2020-02-10 02:02:28.195';
8512668;2790;S;'2019-07-02 18:48:05.615';'2020-02-03 03:20:26.966'
9127059;2790;S;'2020-02-03 03:20:26.966';
8887823;2820;S;'2019-11-11 02:01:09.229';'2020-01-13 03:34:07.208'
9076866;2820;S;'2020-01-20 02:02:05.456';'2020-02-10 02:02:21.956'
8907770;3240;S;'2019-11-18 22:10:09.732';'2020-02-10 03:24:17.321'
9176394;3240;S;'2020-02-10 03:24:17.321';
8909414;3242;S;'2019-11-19 15:29:20.320';'2020-01-27 03:01:20.421'
8938236;3275;S;'2019-11-26 22:15:47.826';'2020-02-10 03:30:10.173'
9176929;3275;S;'2020-02-10 03:30:10.173';
9403266;3595;S;'2020-03-04 17:35:03.395';
9440593;3639;S;'2020-03-24 22:55:08.172';
8607587;886;S;'2019-08-12 03:12:00.227';'2019-08-19 02:06:12.642'
8625119;886;S;'2019-08-19 02:06:12.642';'2019-08-19 03:12:15.854'
8625248;886;S;'2019-08-19 03:12:15.854';'2019-08-26 02:06:14.230'
8679728;886;S;'2019-09-09 02:06:17.890';'2019-09-09 03:12:50.739'
8679863;886;S;'2019-09-09 03:12:50.739';'2019-09-16 02:06:07.534'
8695525;886;S;'2019-09-16 02:06:07.534';'2019-09-16 03:21:21.289'
8717406;886;S;'2019-09-23 03:27:50.551';'2019-09-30 02:06:15.820'
8738197;886;S;'2019-09-30 03:29:12.360';'2019-10-07 02:06:34.625'
8758627;886;S;'2019-10-07 03:33:05.477';'2019-10-14 02:06:09.847'
8794255;886;S;'2019-10-21 03:27:12.350';'2019-10-28 02:06:04.359'
8832069;886;S;'2019-11-04 03:29:25.193';'2019-11-11 02:06:07.951'
8887891;886;S;'2019-11-11 02:06:07.951';'2019-12-16 02:05:59.311'
8989500;886;S;'2019-12-16 02:05:59.311';'2019-12-23 02:06:17.186'
9077028;886;S;'2020-01-20 02:06:55.495';'2020-01-27 02:07:10.163'
7602689;1000;B;'2017-06-11 23:10:22.200';'2020-02-10 03:07:46.177'
9175302;1000;B;'2020-02-10 03:07:46.177';
7743924;1001;F;'2018-06-28 10:07:16.913';'2018-06-28 10:48:13.242'
7602664;1002;S;'2017-06-13 00:42:43.864';'2020-02-10 03:07:50.619'
9175308;1002;S;'2020-02-10 03:07:50.619';
9175310;1003;S;'2020-02-10 03:07:52.470';
7487932;1004;T;'2017-06-13 11:45:27.905';'2018-06-14 10:03:00.324'
7721030;1004;E;'2018-06-14 10:03:00.324';'2018-06-28 10:06:58.864'
7820346;1006;P;'2018-09-17 10:01:55.740';'2018-09-17 10:51:15.629'
7893483;1006;O;'2018-11-08 11:29:19.336';'2018-11-15 13:00:09.265'
9162636;1006;L;'2020-02-10 02:07:29.832';'2020-08-01 02:00:00.000'
9175317;1007;F;'2020-02-10 03:07:58.781';
7602601;1008;S;'2017-06-13 23:58:10.449';'2020-02-10 03:08:00.969'
7602593;1009;T;'2017-06-14 16:05:27.105';'2018-06-14 10:03:03.835'
7744339;1009;F;'2018-06-28 10:48:20.267';'2020-02-10 03:08:03.156'
7602581;1010;T;'2017-06-14 18:06:31.449';'2018-06-14 10:03:15.811'
7721437;1010;E;'2018-06-14 10:03:15.811';'2018-06-28 10:07:13.934'
7743843;1010;F;'2018-06-28 10:07:13.934';'2018-06-28 10:48:22.809'
7744447;1010;F;'2018-06-28 10:48:22.809';'2020-02-10 03:08:05.121'
9175325;1010;F;'2020-02-10 03:08:05.121';
7602569;1011;T;'2017-06-15 09:52:56.461';'2018-06-14 10:03:03.722'
7744337;1011;F;'2018-06-28 10:48:20.222';'2020-02-10 03:08:07.181'
9175329;1011;F;'2020-02-10 03:08:07.181';
7602561;1012;F;'2017-06-15 10:11:47.656';'2020-02-10 03:08:09.415'
7602548;1013;T;'2017-06-15 18:50:26.615';'2018-06-14 10:03:03.052'
7743659;1013;F;'2018-06-28 10:07:07.683';'2018-06-28 10:48:20.037'
7744329;1013;F;'2018-06-28 10:48:20.037';'2020-02-10 03:08:11.684'
9175336;1013;F;'2020-02-10 03:08:11.684';
7608817;1014;S;'2017-06-15 19:24:31.234';'2019-06-19 15:42:35.628'
7743457;1015;F;'2018-06-28 10:07:00.642';'2018-06-28 10:48:13.671'
7602525;1016;T;'2017-06-16 01:09:59.825';'2018-06-14 10:03:01.309'
7721055;1016;E;'2018-06-14 10:03:01.309';'2018-06-28 10:06:59.182'
7743415;1016;F;'2018-06-28 10:06:59.182';'2018-06-28 10:48:11.986'
7743992;1016;F;'2018-06-28 10:48:11.986';'2020-02-10 03:08:17.998'
8408372;1017;S;'2019-06-19 15:42:35.628';'2020-02-10 03:08:20.036'
9175347;1017;S;'2020-02-10 03:08:20.036';
7602504;1018;T;'2017-06-16 14:33:49.813';'2018-06-14 10:03:00.469'
7743615;1018;F;'2018-06-28 10:07:06.186';'2018-06-28 10:48:15.117'
7744124;1018;F;'2018-06-28 10:48:15.117';'2020-02-10 03:08:22.071'
9175350;1018;F;'2020-02-10 03:08:22.071';
7608811;1020;S;'2017-06-16 21:35:05.725';'2020-02-10 03:08:26.317'
9175357;1020;S;'2020-02-10 03:08:26.317';
7721169;1022;E;'2018-06-14 10:03:05.654';'2018-06-28 10:07:00.381'
7743449;1022;F;'2018-06-28 10:07:00.381';'2018-06-28 10:48:13.452'
9175363;1022;F;'2020-02-10 03:08:30.444';
7602455;1025;T;'2017-06-19 16:12:03.785';'2018-06-14 10:03:17.896'
7721492;1025;E;'2018-06-14 10:03:17.896';'2018-06-28 10:07:15.622'
9175368;1025;F;'2020-02-10 03:08:36.432';
7602445;1026;S;'2017-06-20 08:05:09.451';'2020-02-10 03:08:38.438'
7602434;1027;T;'2017-06-21 01:39:03.921';'2018-06-14 10:03:00.761'
7721042;1027;E;'2018-06-14 10:03:00.761';'2018-06-28 10:07:06.450'
7744306;1027;F;'2018-06-28 10:48:19.506';'2020-02-10 03:08:40.699'
9175373;1027;F;'2020-02-10 03:08:40.699';
8408375;1028;S;'2019-06-19 15:42:35.628';'2020-02-10 03:08:42.921'
9175374;1028;S;'2020-02-10 03:08:42.921';
7624962;1030;T;'2017-06-21 13:28:55.811';'2018-05-22 14:02:52.629'
7698316;1030;T;'2018-05-31 15:25:20.293';'2018-06-14 10:03:10.065'
7721285;1030;E;'2018-06-14 10:03:10.065';'2018-06-28 10:07:01.882'
7721257;1032;E;'2018-06-14 10:03:09.024';'2018-06-28 10:07:01.323'
9175383;1032;F;'2020-02-10 03:08:51.346';
7602386;1033;T;'2017-06-21 21:46:29.397';'2018-06-14 10:03:09.635'
7721273;1033;E;'2018-06-14 10:03:09.635';'2018-06-28 10:07:04.473'
9175387;1033;F;'2020-02-10 03:08:53.448';
7721265;1035;E;'2018-06-14 10:03:09.316';'2018-06-28 10:07:04.162'
7743558;1035;F;'2018-06-28 10:07:04.162';'2018-06-28 10:48:14.680'
7744106;1035;F;'2018-06-28 10:48:14.680';'2020-02-10 03:08:57.380'
7610045;1036;T;'2017-06-22 18:08:18.200';'2018-06-14 10:02:59.615'
7721011;1036;E;'2018-06-14 10:02:59.615';'2018-06-28 10:06:58.668'
7743402;1036;F;'2018-06-28 10:06:58.668';'2018-06-28 10:48:11.460'
7743971;1036;F;'2018-06-28 10:48:11.460';'2020-02-10 03:08:59.603'
7602353;1037;S;'2017-06-22 22:02:26.961';'2020-02-10 03:09:01.543'
9175395;1037;S;'2020-02-10 03:09:01.543';
7721014;1038;E;'2018-06-14 10:02:59.727';'2018-06-28 10:07:05.533'
7743597;1038;F;'2018-06-28 10:07:05.533';'2018-06-28 10:48:19.054'
7744286;1038;F;'2018-06-28 10:48:19.054';'2020-02-10 03:09:03.808'
9175398;1038;F;'2020-02-10 03:09:03.808';
7610046;1039;B;'2017-06-23 01:02:37.916';'2020-02-10 03:09:05.892'
9175399;1039;B;'2020-02-10 03:09:05.892';
7721229;1040;E;'2018-06-14 10:03:07.927';'2018-06-28 10:07:02.862'
7743520;1040;F;'2018-06-28 10:07:02.862';'2018-06-28 10:48:16.757'
7744193;1040;F;'2018-06-28 10:48:16.757';'2020-02-10 03:09:08.020'
7610047;1041;T;'2017-06-23 12:17:00.046';'2018-06-14 10:03:04.624'
7721142;1041;E;'2018-06-14 10:03:04.624';'2018-06-28 10:07:08.851'
7743694;1041;F;'2018-06-28 10:07:08.851';'2018-06-28 10:48:20.573'
7744352;1041;F;'2018-06-28 10:48:20.573';'2020-02-10 03:09:10.164'
9175407;1041;F;'2020-02-10 03:09:10.164';
7608805;1042;S;'2017-06-23 15:53:52.068';'2020-02-10 03:09:12.165'
9175411;1042;S;'2020-02-10 03:09:12.165';
7608804;1043;S;'2017-06-23 19:00:01.161';'2019-06-19 15:42:35.628'
7721155;1044;E;'2018-06-14 10:03:05.133';'2018-06-28 10:07:09.239'
