user_key,Activity,created_utc
2821,New user in system,'2016-09-28 12:27:34.594'
2843,New user in system,'2016-09-28 13:13:13.220'
2884,New user in system,'2016-09-28 18:00:35.717'
2904,New user in system,'2016-09-28 18:20:04.940'
2924,New user in system,'2016-09-29 14:17:16.091'
2945,New user in system,'2016-09-29 18:47:01.180'
2961,New user in system,'2016-09-30 16:43:31.268'
2982,New user in system,'2016-09-30 18:11:50.446'
2982,Create Booking,'2018-07-04 08:30:37.530'
2982,Create Booking,'2018-12-26 10:33:47.088'
2982,Create Booking,'2019-01-11 15:54:04.454'
3024,New user in system,'2016-10-01 15:17:13.894'
3048,New user in system,'2016-10-01 20:01:24.765'
3090,New user in system,'2016-10-03 14:07:20.168'
3110,New user in system,'2016-10-04 01:01:55.565'
3110,Create Booking,'2018-07-03 01:08:54.025'
3110,Create Booking,'2019-05-11 14:19:45.360'
3110,Create Booking,'2019-06-06 15:25:54.927'
3110,Create Booking,'2019-06-24 23:01:21.718'
3110,Create Booking,'2019-08-30 11:39:26.559'
3133,New user in system,'2016-10-04 01:07:47.071'
3153,New user in system,'2016-10-04 21:20:08.257'
3172,New user in system,'2016-10-05 12:19:23.532'
3192,New user in system,'2016-10-05 12:26:12.480'
3210,New user in system,'2016-10-05 23:19:09.790'
3230,New user in system,'2016-10-06 17:08:16.756'
3249,New user in system,'2016-10-06 17:20:46.339'
3271,New user in system,'2016-10-07 11:14:19.370'
3295,New user in system,'2016-10-07 12:46:27.607'
3312,New user in system,'2016-10-07 14:30:33.705'
3354,New user in system,'2016-10-07 22:04:53.316'
3374,New user in system,'2016-10-08 12:28:13.200'
3393,New user in system,'2016-10-08 21:59:29.655'
3417,New user in system,'2016-10-11 16:18:03.682'
3440,New user in system,'2016-10-11 19:50:15.795'
3463,New user in system,'2016-10-11 22:33:48.740'
3488,New user in system,'2016-10-11 22:34:27.759'
3508,New user in system,'2016-10-13 11:13:11.043'
3527,New user in system,'2016-10-13 18:14:54.717'
3548,New user in system,'2016-10-13 19:07:32.173'
3567,New user in system,'2016-10-13 19:08:01.974'
3567,Create Booking,'2020-08-14 22:09:47.678'
3585,New user in system,'2016-10-14 14:38:36.199'
3606,New user in system,'2016-10-14 23:45:23.917'
3627,New user in system,'2016-10-15 11:00:38.753'
3708,New user in system,'2016-10-17 18:27:43.498'
3731,New user in system,'2016-10-18 10:44:23.145'
3731,Create Booking,'2018-03-13 15:43:31.010'
3731,Create Booking,'2018-09-02 00:16:01.151'
3754,New user in system,'2016-10-18 20:15:26.304'
3776,New user in system,'2016-10-20 16:21:31.198'
3799,New user in system,'2016-10-21 09:35:55.041'
3820,New user in system,'2016-10-21 15:01:00.887'
3842,New user in system,'2016-10-21 18:00:18.097'
3867,New user in system,'2016-10-22 19:40:26.829'
3888,New user in system,'2016-10-22 20:36:54.010'
3965,New user in system,'2016-10-24 12:17:20.320'
3988,New user in system,'2016-10-25 02:40:47.199'
4032,New user in system,'2016-10-25 19:49:20.514'
4054,New user in system,'2016-10-25 22:51:38.581'
4078,New user in system,'2016-10-25 23:07:13.744'
4102,New user in system,'2016-10-26 09:12:45.452'
4102,Create Booking,'2017-08-13 17:16:05.404'
4102,Create Booking,'2020-01-31 00:26:33.785'
4124,New user in system,'2016-10-26 10:12:46.918'
4145,New user in system,'2016-10-26 10:51:13.324'
4164,New user in system,'2016-10-26 11:50:39.099'
4186,New user in system,'2016-10-26 17:06:20.184'
4207,New user in system,'2016-10-26 17:43:09.958'
4227,New user in system,'2016-10-26 18:08:15.413'
4248,New user in system,'2016-10-26 19:12:44.240'
4272,New user in system,'2016-10-26 19:48:47.056'
4298,New user in system,'2016-10-26 20:58:04.220'
4321,New user in system,'2016-10-26 21:56:30.703'
4345,New user in system,'2016-10-26 21:57:11.629'
4370,New user in system,'2016-10-26 23:23:37.535'
4394,New user in system,'2016-10-27 07:30:09.553'
4440,New user in system,'2016-10-27 11:33:28.961'
4463,New user in system,'2016-10-27 15:39:12.833'
4486,New user in system,'2016-10-27 15:39:35.466'
4510,New user in system,'2016-10-27 15:47:04.030'
4533,New user in system,'2016-10-27 15:50:27.537'
4553,New user in system,'2016-10-27 16:09:52.487'
4572,New user in system,'2016-10-27 16:41:07.947'
4594,New user in system,'2016-10-27 17:18:06.928'
4619,New user in system,'2016-10-27 18:03:19.070'
4640,New user in system,'2016-10-27 18:04:06.708'
4665,New user in system,'2016-10-27 19:47:22.449'
4688,New user in system,'2016-10-27 20:29:57.181'
4711,New user in system,'2016-10-27 21:03:30.217'
4731,New user in system,'2016-10-27 21:37:28.206'
4753,New user in system,'2016-10-27 22:55:17.459'
4777,New user in system,'2016-10-27 23:29:05.018'
4802,New user in system,'2016-10-28 00:21:17.705'
4826,New user in system,'2016-10-28 00:52:47.951'
4848,New user in system,'2016-10-28 09:55:48.590'
4870,New user in system,'2016-10-28 11:15:21.323'
4894,New user in system,'2016-10-28 12:47:11.323'
4958,New user in system,'2016-10-28 13:38:17.421'
5005,New user in system,'2016-10-28 14:36:11.881'
5028,New user in system,'2016-10-28 15:00:54.500'
5028,Create Booking,'2018-08-31 16:13:30.035'
5046,New user in system,'2016-10-28 16:00:16.704'
5066,New user in system,'2016-10-28 17:43:27.807'
5090,New user in system,'2016-10-28 19:55:42.620'
5114,New user in system,'2016-10-28 20:01:31.413'
5114,Create Booking,'2016-10-28 20:01:32.146'
5135,New user in system,'2016-10-28 20:03:24.376'
5153,New user in system,'2016-10-28 21:32:04.926'
5153,Create Booking,'2018-01-25 16:37:46.349'
5174,New user in system,'2016-10-28 22:24:40.531'
5195,New user in system,'2016-10-28 22:57:17.075'
5214,New user in system,'2016-10-29 01:41:13.963'
5234,New user in system,'2016-10-29 02:50:19.540'
5257,New user in system,'2016-10-29 10:00:37.459'
5278,New user in system,'2016-10-29 10:08:46.671'
5278,Create Booking,'2018-10-26 21:33:50.534'
5300,New user in system,'2016-10-29 14:21:04.944'
5300,Create Booking,'2017-04-12 12:38:09.945'
5323,New user in system,'2016-10-29 14:45:46.213'
5343,New user in system,'2016-10-29 15:12:05.487'
5365,New user in system,'2016-10-29 15:12:40.315'
5387,New user in system,'2016-10-29 16:01:30.924'
5408,New user in system,'2016-10-29 16:22:10.074'
5431,New user in system,'2016-10-29 16:26:09.928'
5455,New user in system,'2016-10-29 17:13:13.015'
5476,New user in system,'2016-10-29 19:34:33.459'
5500,New user in system,'2016-10-29 19:41:41.118'
5524,New user in system,'2016-10-30 10:19:13.940'
5548,New user in system,'2016-10-30 15:18:43.504'
5571,New user in system,'2016-10-30 16:59:44.221'
5592,New user in system,'2016-10-30 17:42:44.745'
5614,New user in system,'2016-10-30 19:49:10.020'
5635,New user in system,'2016-10-30 21:43:06.843'
5635,Create Booking,'2018-10-13 09:53:51.298'
5652,New user in system,'2016-10-30 22:10:13.135'
5674,New user in system,'2016-10-31 02:33:11.914'
5694,New user in system,'2016-10-31 10:37:28.890'
5715,New user in system,'2016-10-31 17:45:10.385'
5736,New user in system,'2016-10-31 22:20:37.732'
5757,New user in system,'2016-11-01 10:21:23.851'
5778,New user in system,'2016-11-01 15:42:17.673'
5800,New user in system,'2016-11-01 16:47:49.227'
5819,New user in system,'2016-11-01 17:31:13.120'
5837,New user in system,'2016-11-02 00:41:37.883'
5858,New user in system,'2016-11-02 10:33:31.979'
5878,New user in system,'2016-11-02 11:21:41.427'
5899,New user in system,'2016-11-02 11:55:19.374'
5917,New user in system,'2016-11-02 11:59:11.364'
5939,New user in system,'2016-11-02 12:10:21.283'
5958,New user in system,'2016-11-02 14:29:00.486'
5981,New user in system,'2016-11-02 18:38:46.700'
6004,New user in system,'2016-11-02 19:40:30.765'
6025,New user in system,'2016-11-02 22:39:20.237'
6025,Create Booking,'2016-11-02 22:39:37.873'
6025,Create Booking,'2018-08-22 17:59:09.051'
6050,New user in system,'2016-11-02 23:47:22.739'
6050,Create Booking,'2016-12-08 23:31:34.549'
6076,New user in system,'2016-11-03 09:26:56.037'
6076,Create Booking,'2019-04-22 18:48:24.606'
6076,Create Booking,'2019-09-19 20:48:22.740'
6076,Create Booking,'2019-10-04 19:32:45.487'
6102,New user in system,'2016-11-03 10:10:41.110'
6102,Create Booking,'2019-04-22 10:27:28.378'
6128,New user in system,'2016-11-03 12:52:12.154'
6179,New user in system,'2016-11-03 14:31:14.473'
6205,New user in system,'2016-11-03 15:48:32.866'
6229,New user in system,'2016-11-03 17:20:28.093'
6253,New user in system,'2016-11-03 17:41:23.857'
6277,New user in system,'2016-11-03 18:16:11.983'
6302,New user in system,'2016-11-03 21:14:10.313'
6328,New user in system,'2016-11-04 01:36:11.750'
6352,New user in system,'2016-11-04 14:51:14.938'
6376,New user in system,'2016-11-04 16:20:28.049'
6401,New user in system,'2016-11-04 19:09:08.209'
6427,New user in system,'2016-11-04 21:18:29.113'
6452,New user in system,'2016-11-05 10:43:03.925'
6477,New user in system,'2016-11-05 11:29:48.985'
6501,New user in system,'2016-11-05 12:26:45.192'
6530,New user in system,'2016-11-05 12:57:07.360'
6557,New user in system,'2016-11-05 13:48:02.664'
6582,New user in system,'2016-11-06 13:22:06.291'
6606,New user in system,'2016-11-06 20:20:43.510'
6631,New user in system,'2016-11-06 22:23:11.373'
6656,New user in system,'2016-11-06 22:41:28.038'
6683,New user in system,'2016-11-07 14:55:00.533'
6708,New user in system,'2016-11-07 17:26:55.926'
6729,New user in system,'2016-11-07 18:29:44.050'
6729,Create Booking,'2019-05-06 16:33:15.315'
6752,New user in system,'2016-11-07 23:47:16.381'
6752,Create Booking,'2017-09-28 09:53:39.090'
6776,New user in system,'2016-11-08 11:50:02.688'
6800,New user in system,'2016-11-08 14:01:09.818'
6825,New user in system,'2016-11-08 14:25:56.306'
6850,New user in system,'2016-11-08 22:16:46.982'
6872,New user in system,'2016-11-08 23:50:39.029'
6895,New user in system,'2016-11-08 23:59:48.002'
6917,New user in system,'2016-11-09 11:39:11.107'
6943,New user in system,'2016-11-09 11:56:07.579'
6967,New user in system,'2016-11-09 12:54:33.175'
6991,New user in system,'2016-11-09 13:23:36.514'
7014,New user in system,'2016-11-09 13:30:42.720'
7036,New user in system,'2016-11-09 14:17:38.781'
7058,New user in system,'2016-11-09 17:37:25.685'
7084,New user in system,'2016-11-09 19:56:22.769'
7110,New user in system,'2016-11-09 21:19:01.080'
7110,Create Booking,'2018-04-04 22:43:11.910'
7110,Create Booking,'2018-08-02 21:37:51.085'
7135,New user in system,'2016-11-10 11:15:15.990'
7163,New user in system,'2016-11-10 11:23:06.055'
7187,New user in system,'2016-11-10 14:25:12.278'
7214,New user in system,'2016-11-10 15:43:45.705'
7283,New user in system,'2016-11-10 20:37:54.874'
7283,Create Booking,'2020-06-23 15:02:36.597'
7309,New user in system,'2016-11-10 20:57:12.978'
7331,New user in system,'2016-11-10 23:12:10.944'
7353,New user in system,'2016-11-11 00:30:54.146'
7376,New user in system,'2016-11-11 01:38:21.057'
7401,New user in system,'2016-11-11 12:54:50.682'
7428,New user in system,'2016-11-11 14:57:55.669'
7455,New user in system,'2016-11-11 15:45:54.764'
7455,Create Booking,'2018-05-17 10:31:15.093'
7455,Create Booking,'2018-09-26 18:53:22.344'
7455,Create Booking,'2018-10-17 13:50:19.713'
7480,New user in system,'2016-11-11 22:14:49.247'
7502,New user in system,'2016-11-11 22:34:06.499'
7525,New user in system,'2016-11-11 22:54:35.653'
7548,New user in system,'2016-11-12 01:44:51.328'
7571,New user in system,'2016-11-12 11:15:14.646'
7571,Create Booking,'2020-09-25 16:00:00.423'
7595,New user in system,'2016-11-12 14:48:54.846'
7644,New user in system,'2016-11-13 10:53:23.525'
7644,Create Booking,'2019-10-10 10:06:44.222'
7671,New user in system,'2016-11-13 15:35:23.326'
7697,New user in system,'2016-11-13 21:31:57.569'
7723,New user in system,'2016-11-13 22:05:16.351'
7749,New user in system,'2016-11-14 00:03:21.032'
7851,New user in system,'2016-11-14 16:16:30.922'
7877,New user in system,'2016-11-14 23:50:26.849'
7903,New user in system,'2016-11-15 10:28:00.391'
7926,New user in system,'2016-11-15 13:21:47.426'
7952,New user in system,'2016-11-15 17:56:13.441'
7978,New user in system,'2016-11-15 22:10:39.515'
8004,New user in system,'2016-11-16 00:22:36.070'
8032,New user in system,'2016-11-16 19:07:00.516'
8055,New user in system,'2016-11-16 19:47:38.668'
8082,New user in system,'2016-11-17 08:50:21.824'
8082,Create Booking,'2018-12-18 12:33:08.344'
8082,Create Booking,'2019-01-10 12:24:26.229'
8132,New user in system,'2016-11-17 12:41:25.290'
8159,New user in system,'2016-11-17 12:55:14.402'
8159,Create Booking,'2020-07-29 09:16:46.588'
8159,Create Booking,'2020-08-20 15:30:51.092'
8159,Create Booking,'2020-10-09 13:00:04.334'
8184,New user in system,'2016-11-17 13:45:18.842'
8212,New user in system,'2016-11-17 16:53:14.090'
8240,New user in system,'2016-11-17 17:07:32.270'
8268,New user in system,'2016-11-17 17:52:01.993'
8297,New user in system,'2016-11-17 17:52:57.411'
8323,New user in system,'2016-11-17 18:02:00.887'
8352,New user in system,'2016-11-17 18:53:47.809'
8377,New user in system,'2016-11-17 20:12:30.333'
8404,New user in system,'2016-11-17 22:27:14.179'
8430,New user in system,'2016-11-17 22:34:01.105'
8457,New user in system,'2016-11-17 22:34:32.105'
8483,New user in system,'2016-11-17 23:05:46.988'
8483,Create Booking,'2016-11-17 23:06:00.155'
8509,New user in system,'2016-11-17 23:06:31.879'
8532,New user in system,'2016-11-18 10:46:10.485'
8554,New user in system,'2016-11-18 12:33:16.110'
8605,New user in system,'2016-11-18 14:20:07.940'
8629,New user in system,'2016-11-18 14:36:19.548'
8653,New user in system,'2016-11-18 14:36:58.579'
8678,Create Booking,'2018-03-11 09:56:01.956'
8703,New user in system,'2016-11-18 17:59:30.805'
8730,New user in system,'2016-11-18 18:45:34.977'
8757,New user in system,'2016-11-18 20:33:19.806'
8780,New user in system,'2016-11-18 23:19:12.092'
8804,New user in system,'2016-11-18 23:40:54.084'
8829,New user in system,'2016-11-19 00:23:58.053'
8852,New user in system,'2016-11-19 11:13:51.895'
8875,New user in system,'2016-11-19 11:20:25.875'
8902,New user in system,'2016-11-19 12:02:35.587'
8902,Create Booking,'2017-06-16 18:24:39.502'
8902,Create Booking,'2018-05-01 09:57:13.274'
8902,Create Booking,'2019-11-20 10:13:58.778'
8928,New user in system,'2016-11-19 13:08:28.326'
8952,New user in system,'2016-11-19 14:18:03.124'
8952,Create Booking,'2019-03-05 09:43:41.621'
8952,Create Booking,'2019-03-22 09:11:18.974'
8976,New user in system,'2016-11-19 23:54:55.682'
9000,New user in system,'2016-11-20 11:57:01.458'
9026,New user in system,'2016-11-20 17:55:29.987'
9052,New user in system,'2016-11-20 18:32:19.326'
9099,New user in system,'2016-11-20 22:28:26.822'
9123,New user in system,'2016-11-21 15:34:13.058'
9151,New user in system,'2016-11-21 17:14:46.657'
9173,New user in system,'2016-11-21 19:22:00.408'
9199,New user in system,'2016-11-21 20:05:02.984'
9223,New user in system,'2016-11-21 22:11:28.221'
9275,New user in system,'2016-11-21 22:42:12.815'
9301,New user in system,'2016-11-21 23:20:13.383'
9326,New user in system,'2016-11-21 23:34:27.739'
9352,New user in system,'2016-11-22 00:02:34.751'
9374,New user in system,'2016-11-22 00:03:36.756'
9400,New user in system,'2016-11-22 00:10:02.982'
9425,New user in system,'2016-11-22 00:38:53.682'
9448,New user in system,'2016-11-22 09:54:45.170'
9472,New user in system,'2016-11-22 11:40:14.416'
9496,New user in system,'2016-11-22 11:43:38.732'
9521,New user in system,'2016-11-22 11:46:59.484'
9521,Create Booking,'2019-06-03 22:49:40.027'
9543,New user in system,'2016-11-22 11:51:00.923'
9571,New user in system,'2016-11-22 12:00:17.612'
9598,New user in system,'2016-11-22 18:10:01.190'
9621,New user in system,'2016-11-22 19:31:35.662'
9645,New user in system,'2016-11-22 20:31:38.198'
9670,New user in system,'2016-11-22 21:29:48.585'
9696,New user in system,'2016-11-23 01:49:15.431'
9720,New user in system,'2016-11-23 12:58:09.681'
9743,New user in system,'2016-11-23 12:59:39.037'
9768,New user in system,'2016-11-23 13:31:31.965'
9793,New user in system,'2016-11-23 16:06:50.829'
9793,Create Booking,'2018-07-03 12:52:22.282'
9819,New user in system,'2016-11-23 17:43:31.221'
9819,Create Booking,'2016-12-18 18:37:19.723'
9819,Create Booking,'2020-08-19 21:00:35.481'
9847,New user in system,'2016-11-23 18:46:43.128'
9871,New user in system,'2016-11-23 18:54:13.909'
9894,New user in system,'2016-11-23 19:28:32.431'
9918,New user in system,'2016-11-24 00:35:05.778'
9944,New user in system,'2016-11-24 09:32:53.934'
9968,New user in system,'2016-11-24 10:12:48.482'
9990,New user in system,'2016-11-24 10:34:51.631'
10011,New user in system,'2016-11-24 11:05:01.010'
10035,New user in system,'2016-11-24 14:05:37.691'
10059,New user in system,'2016-11-24 16:01:11.738'
10082,New user in system,'2016-11-24 17:23:02.518'
10082,Create Booking,'2020-07-23 14:28:50.653'
10103,New user in system,'2016-11-24 17:52:00.223'
10125,New user in system,'2016-11-24 19:26:46.857'
10169,New user in system,'2016-11-25 00:50:30.041'
10193,New user in system,'2016-11-25 01:18:16.154'
10218,New user in system,'2016-11-25 11:28:40.012'
10243,New user in system,'2016-11-25 12:26:27.856'
10264,New user in system,'2016-11-25 14:24:03.968'
10285,New user in system,'2016-11-25 15:50:17.873'
10310,New user in system,'2016-11-25 16:33:19.770'
10336,New user in system,'2016-11-25 17:29:57.523'
10360,New user in system,'2016-11-25 18:26:34.363'
10384,New user in system,'2016-11-25 21:20:54.560'
10406,New user in system,'2016-11-25 21:40:28.065'
10432,New user in system,'2016-11-25 22:47:55.160'
10458,New user in system,'2016-11-25 22:48:20.493'
10483,New user in system,'2016-11-26 01:04:55.437'
10510,New user in system,'2016-11-26 12:33:01.969'
10510,Create Booking,'2020-08-09 21:06:03.230'
10510,Create Booking,'2020-10-16 19:30:02.467'
10537,New user in system,'2016-11-26 15:32:55.951'
10563,New user in system,'2016-11-26 17:07:56.256'
10590,New user in system,'2016-11-26 23:30:16.998'
10618,New user in system,'2016-11-27 00:41:42.097'
10668,New user in system,'2016-11-27 01:50:03.718'
10689,New user in system,'2016-11-27 11:34:05.557'
10711,New user in system,'2016-11-27 14:51:51.301'
10731,New user in system,'2016-11-27 16:14:18.346'
10731,Create Booking,'2018-10-27 15:36:44.984'
10731,Create Booking,'2019-07-28 01:15:18.498'
10755,New user in system,'2016-11-28 09:10:57.320'
10755,Create Booking,'2020-02-16 13:33:19.862'
10778,New user in system,'2016-11-28 10:01:52.955'
10802,New user in system,'2016-11-28 10:02:32.799'
10826,New user in system,'2016-11-28 12:15:20.757'
10826,Create Booking,'2018-06-06 20:24:01.827'
10873,New user in system,'2016-11-28 22:02:43.781'
10918,New user in system,'2016-11-29 10:22:41.625'
10964,New user in system,'2016-11-29 14:07:56.520'
10986,New user in system,'2016-11-29 14:28:05.745'
11009,New user in system,'2016-11-29 17:08:07.889'
11033,New user in system,'2016-11-29 19:26:35.831'
11033,Create Booking,'2020-03-13 13:41:39.587'
11058,New user in system,'2016-11-29 20:14:09.614'
11107,New user in system,'2016-11-30 11:24:39.532'
11129,New user in system,'2016-11-30 12:01:17.646'
11150,New user in system,'2016-11-30 15:16:22.059'
11172,New user in system,'2016-11-30 23:05:39.357'
11197,New user in system,'2016-12-01 12:14:56.338'
11221,New user in system,'2016-12-01 13:30:52.188'
11221,Create Booking,'2017-08-02 18:25:04.767'
11221,Create Booking,'2018-08-14 13:15:36.757'
11221,Create Booking,'2018-10-22 13:45:11.294'
11221,Create Booking,'2019-01-28 13:45:10.793'
11221,Create Booking,'2019-06-02 13:45:10.656'
11245,New user in system,'2016-12-01 14:15:56.734'
11270,New user in system,'2016-12-01 15:03:28.701'
11321,New user in system,'2016-12-01 15:37:02.473'
11344,New user in system,'2016-12-01 15:40:45.220'
11369,New user in system,'2016-12-01 15:50:33.708'
11394,New user in system,'2016-12-01 17:21:16.910'
11420,New user in system,'2016-12-01 19:23:34.540'
11446,New user in system,'2016-12-01 21:39:57.710'
11470,New user in system,'2016-12-01 22:37:25.726'
11520,New user in system,'2016-12-02 01:28:01.697'
11544,New user in system,'2016-12-02 09:29:07.910'
11568,New user in system,'2016-12-02 12:02:24.572'
11593,New user in system,'2016-12-02 13:17:46.676'
11593,Create Booking,'2019-05-01 15:00:36.965'
11618,New user in system,'2016-12-02 13:18:30.560'
11643,New user in system,'2016-12-02 13:38:18.013'
11671,New user in system,'2016-12-02 13:46:24.948'
11699,New user in system,'2016-12-02 14:10:37.157'
11724,New user in system,'2016-12-02 15:12:37.269'
11749,New user in system,'2016-12-02 15:29:21.114'
11774,New user in system,'2016-12-02 16:18:52.462'
11819,New user in system,'2016-12-02 18:46:38.751'
11842,New user in system,'2016-12-02 21:21:07.870'
11868,New user in system,'2016-12-02 21:49:48.174'
11893,New user in system,'2016-12-02 23:21:17.118'
11918,New user in system,'2016-12-02 23:34:05.689'
11943,New user in system,'2016-12-02 23:40:46.202'
11971,New user in system,'2016-12-03 00:38:40.959'
11997,New user in system,'2016-12-03 09:59:18.964'
12021,New user in system,'2016-12-03 10:23:16.101'
12047,New user in system,'2016-12-03 13:37:27.591'
12069,New user in system,'2016-12-03 13:54:10.047'
12092,New user in system,'2016-12-03 21:13:41.110'
12117,New user in system,'2016-12-04 11:15:11.763'
12142,New user in system,'2016-12-04 15:50:19.684'
12166,New user in system,'2016-12-04 16:10:14.412'
12189,New user in system,'2016-12-04 20:01:48.752'
12214,New user in system,'2016-12-04 20:40:46.848'
12240,New user in system,'2016-12-04 22:48:07.164'
12267,New user in system,'2016-12-05 01:01:43.445'
12293,New user in system,'2016-12-05 11:31:03.236'
12293,Create Booking,'2018-06-25 09:36:57.527'
12346,New user in system,'2016-12-05 11:51:12.439'
12369,New user in system,'2016-12-05 12:06:43.466'
12392,New user in system,'2016-12-05 18:05:49.463'
12392,Create Booking,'2020-08-08 13:00:17.596'
12392,Create Booking,'2020-09-09 13:37:20.537'
12417,New user in system,'2016-12-05 23:11:40.174'
12417,Create Booking,'2017-05-31 10:28:51.303'
12442,New user in system,'2016-12-06 11:40:28.103'
12468,New user in system,'2016-12-06 14:49:04.111'
12494,New user in system,'2016-12-06 14:51:32.987'
12520,New user in system,'2016-12-06 19:45:15.883'
12542,New user in system,'2016-12-06 21:31:31.643'
12567,New user in system,'2016-12-06 22:16:51.585'
12619,New user in system,'2016-12-07 00:18:36.994'
12666,New user in system,'2016-12-07 10:46:44.932'
12693,New user in system,'2016-12-07 20:29:56.118'
12693,Create Booking,'2018-07-16 18:41:47.096'
12693,Create Booking,'2018-12-12 22:03:58.434'
12693,Create Booking,'2019-03-07 23:17:47.186'
12722,New user in system,'2016-12-08 00:32:55.554'
12747,New user in system,'2016-12-08 00:41:42.813'
12772,New user in system,'2016-12-08 08:44:17.569'
12798,New user in system,'2016-12-08 10:35:07.763'
12823,New user in system,'2016-12-08 13:15:19.026'
12851,New user in system,'2016-12-08 13:20:59.943'
12876,New user in system,'2016-12-08 13:25:30.160'
12902,New user in system,'2016-12-08 13:34:29.804'
12927,New user in system,'2016-12-08 14:20:56.966'
12952,New user in system,'2016-12-08 14:24:40.129'
12975,New user in system,'2016-12-08 15:30:44.589'
13000,New user in system,'2016-12-08 17:06:05.966'
13000,Create Booking,'2017-12-30 05:36:01.333'
13026,New user in system,'2016-12-08 18:37:01.957'
13054,New user in system,'2016-12-08 20:30:07.183'
13081,New user in system,'2016-12-08 21:22:04.549'
13081,Create Booking,'2017-02-11 09:36:17.986'
13106,New user in system,'2016-12-09 00:29:29.998'
13132,New user in system,'2016-12-09 01:28:01.894'
13153,New user in system,'2016-12-09 13:12:07.658'
13180,New user in system,'2016-12-09 13:13:51.678'
13206,New user in system,'2016-12-09 16:05:27.765'
13228,New user in system,'2016-12-09 16:27:49.300'
13251,New user in system,'2016-12-09 17:49:28.377'
13275,New user in system,'2016-12-09 18:23:55.502'
13302,New user in system,'2016-12-09 20:25:45.844'
13330,New user in system,'2016-12-10 04:52:03.746'
13356,New user in system,'2016-12-10 07:17:53.253'
13407,New user in system,'2016-12-10 15:35:53.086'
13431,New user in system,'2016-12-10 18:03:21.704'
13431,Create Booking,'2018-09-05 23:24:03.704'
13454,New user in system,'2016-12-10 18:49:54.709'
13479,New user in system,'2016-12-10 22:49:51.868'
13503,New user in system,'2016-12-11 01:30:58.867'
13503,Create Booking,'2019-01-21 21:48:59.499'
13529,New user in system,'2016-12-11 10:47:49.303'
13553,New user in system,'2016-12-11 12:29:21.491'
13579,New user in system,'2016-12-12 10:08:42.087'
13604,New user in system,'2016-12-12 11:17:45.679'
13631,New user in system,'2016-12-12 13:27:27.576'
13657,New user in system,'2016-12-12 13:33:04.472'
13681,New user in system,'2016-12-12 14:07:03.438'
13708,New user in system,'2016-12-12 18:49:02.022'
13734,New user in system,'2016-12-12 21:25:51.406'
13758,New user in system,'2016-12-12 21:39:48.447'
13783,New user in system,'2016-12-12 23:02:52.746'
13783,Create Booking,'2016-12-14 19:34:25.894'
13783,Create Booking,'2019-06-24 13:42:03.426'
13783,Create Booking,'2019-09-06 12:18:52.511'
13783,Create Booking,'2019-10-13 23:29:06.436'
13783,Create Booking,'2020-09-23 13:45:00.527'
13809,New user in system,'2016-12-13 12:25:41.287'
13832,New user in system,'2016-12-13 13:24:38.216'
13856,New user in system,'2016-12-13 14:05:08.085'
13879,New user in system,'2016-12-13 14:05:23.056'
13902,New user in system,'2016-12-13 14:09:46.913'
13926,New user in system,'2016-12-13 14:13:17.293'
13953,New user in system,'2016-12-13 14:23:58.775'
13953,Create Booking,'2019-01-18 10:06:39.213'
13953,Create Booking,'2019-04-26 00:23:03.537'
