user_key;created
2256;'2016-09-22 15:35:21.257'
9634954;'2020-08-30 17:19:13.814'
2272;'2016-09-22 18:40:00.164'
2293;'2016-09-22 19:00:48.058'
2315;'2016-09-22 22:30:56.626'
9634957;'2020-08-30 17:44:51.875'
2337;'2016-09-22 23:51:09.889'
9634959;'2020-08-30 17:48:01.939'
9634960;'2020-08-30 17:51:28.992'
2359;'2016-09-23 01:24:57.780'
9634961;'2020-08-30 17:53:34.822'
2381;'2016-09-23 09:14:38.051'
2403;'2016-09-23 10:59:36.629'
9634966;'2020-08-30 18:30:43.126'
9634967;'2020-08-30 18:31:15.769'
2425;'2016-09-23 17:44:29.581'
9634968;'2020-08-30 18:34:57.245'
2449;'2016-09-23 18:13:59.892'
2474;'2016-09-23 21:20:58.443'
9634972;'2020-08-30 18:48:46.835'
9634974;'2020-08-30 19:05:11.148'
2496;'2016-09-23 22:24:58.325'
9634976;'2020-08-30 19:27:16.620'
2517;'2016-09-23 22:29:31.719'
2538;'2016-09-24 13:51:55.933'
9634982;'2020-08-30 19:59:12.478'
9634983;'2020-08-30 20:01:21.336'
9634984;'2020-08-30 20:02:28.085'
9634985;'2020-08-30 20:03:12.934'
2559;'2016-09-24 17:48:28.261'
9634981;'2020-08-30 19:55:07.824'
2580;'2016-09-24 18:54:52.292'
2598;'2016-09-24 20:14:57.037'
9634989;'2020-08-30 20:18:14.711'
9634990;'2020-08-30 20:19:22.372'
2617;'2016-09-25 11:05:48.169'
9634992;'2020-08-30 20:47:07.918'
9634995;'2020-08-30 20:48:56.843'
9634997;'2020-08-30 21:00:50.952'
2638;'2016-09-25 12:30:00.300'
2660;'2016-09-25 12:40:21.411'
2679;'2016-09-25 19:30:05.871'
9635001;'2020-08-30 21:19:26.483'
2700;'2016-09-26 18:25:43.238'
2719;'2016-09-26 18:40:10.536'
9635004;'2020-08-30 21:25:09.188'
2760;'2016-09-27 19:16:00.309'
2780;'2016-09-28 08:41:28.836'
9635009;'2020-08-30 21:52:24.152'
2821;'2016-09-28 12:27:34.594'
9635013;'2020-08-30 22:09:42.524'
2843;'2016-09-28 13:13:13.220'
9635014;'2020-08-30 22:11:50.686'
9635017;'2020-08-30 22:18:29.265'
2884;'2016-09-28 18:00:35.717'
2904;'2016-09-28 18:20:04.940'
9635020;'2020-08-30 22:34:10.903'
2924;'2016-09-29 14:17:16.091'
2945;'2016-09-29 18:47:01.180'
9635023;'2020-08-30 22:42:20.882'
2961;'2016-09-30 16:43:31.268'
9635025;'2020-08-30 22:49:00.221'
2982;'2016-09-30 18:11:50.446'
3024;'2016-10-01 15:17:13.894'
9635031;'2020-08-30 23:00:09.658'
3048;'2016-10-01 20:01:24.765'
9635033;'2020-08-30 23:02:14.210'
9635034;'2020-08-30 23:03:07.955'
9635035;'2020-08-30 23:08:47.726'
9635037;'2020-08-30 23:10:52.835'
9635038;'2020-08-30 23:19:08.276'
3090;'2016-10-03 14:07:20.168'
9635039;'2020-08-30 23:20:01.103'
9635040;'2020-08-30 23:30:59.910'
3110;'2016-10-04 01:01:55.565'
9635042;'2020-08-30 23:35:39.267'
3133;'2016-10-04 01:07:47.071'
9635046;'2020-08-30 23:43:21.765'
3153;'2016-10-04 21:20:08.257'
9635047;'2020-08-30 23:45:46.633'
3172;'2016-10-05 12:19:23.532'
9635050;'2020-08-30 23:52:41.698'
9635051;'2020-08-30 23:54:46.503'
3192;'2016-10-05 12:26:12.480'
9635052;'2020-08-30 23:58:52.133'
3210;'2016-10-05 23:19:09.790'
9635054;'2020-08-31 00:32:04.057'
9635055;'2020-08-31 00:32:21.602'
3230;'2016-10-06 17:08:16.756'
9635056;'2020-08-31 00:34:37.058'
9635058;'2020-08-31 00:53:52.672'
3249;'2016-10-06 17:20:46.339'
9635061;'2020-08-31 01:32:02.368'
9635062;'2020-08-31 01:50:19.592'
3271;'2016-10-07 11:14:19.370'
3295;'2016-10-07 12:46:27.607'
3312;'2016-10-07 14:30:33.705'
3354;'2016-10-07 22:04:53.316'
3374;'2016-10-08 12:28:13.200'
3393;'2016-10-08 21:59:29.655'
3417;'2016-10-11 16:18:03.682'
3440;'2016-10-11 19:50:15.795'
3463;'2016-10-11 22:33:48.740'
3488;'2016-10-11 22:34:27.759'
3508;'2016-10-13 11:13:11.043'
3527;'2016-10-13 18:14:54.717'
3548;'2016-10-13 19:07:32.173'
3567;'2016-10-13 19:08:01.974'
3585;'2016-10-14 14:38:36.199'
3606;'2016-10-14 23:45:23.917'
3627;'2016-10-15 11:00:38.753'
3708;'2016-10-17 18:27:43.498'
3731;'2016-10-18 10:44:23.145'
3754;'2016-10-18 20:15:26.304'
3776;'2016-10-20 16:21:31.198'
3799;'2016-10-21 09:35:55.041'
3820;'2016-10-21 15:01:00.887'
3842;'2016-10-21 18:00:18.097'
3867;'2016-10-22 19:40:26.829'
3888;'2016-10-22 20:36:54.010'
3965;'2016-10-24 12:17:20.320'
3988;'2016-10-25 02:40:47.199'
4032;'2016-10-25 19:49:20.514'
4054;'2016-10-25 22:51:38.581'
4078;'2016-10-25 23:07:13.744'
4102;'2016-10-26 09:12:45.452'
4124;'2016-10-26 10:12:46.918'
4145;'2016-10-26 10:51:13.324'
4164;'2016-10-26 11:50:39.099'
4186;'2016-10-26 17:06:20.184'
4207;'2016-10-26 17:43:09.958'
4227;'2016-10-26 18:08:15.413'
4248;'2016-10-26 19:12:44.240'
4272;'2016-10-26 19:48:47.056'
4298;'2016-10-26 20:58:04.220'
4321;'2016-10-26 21:56:30.703'
4345;'2016-10-26 21:57:11.629'
4370;'2016-10-26 23:23:37.535'
4394;'2016-10-27 07:30:09.553'
4440;'2016-10-27 11:33:28.961'
4463;'2016-10-27 15:39:12.833'
4486;'2016-10-27 15:39:35.466'
4510;'2016-10-27 15:47:04.030'
4533;'2016-10-27 15:50:27.537'
4553;'2016-10-27 16:09:52.487'
4572;'2016-10-27 16:41:07.947'
4594;'2016-10-27 17:18:06.928'
4619;'2016-10-27 18:03:19.070'
4640;'2016-10-27 18:04:06.708'
4665;'2016-10-27 19:47:22.449'
4688;'2016-10-27 20:29:57.181'
4711;'2016-10-27 21:03:30.217'
4731;'2016-10-27 21:37:28.206'
4753;'2016-10-27 22:55:17.459'
4777;'2016-10-27 23:29:05.018'
4802;'2016-10-28 00:21:17.705'
4826;'2016-10-28 00:52:47.951'
4848;'2016-10-28 09:55:48.590'
4870;'2016-10-28 11:15:21.323'
4894;'2016-10-28 12:47:11.323'
4958;'2016-10-28 13:38:17.421'
5005;'2016-10-28 14:36:11.881'
5028;'2016-10-28 15:00:54.500'
5046;'2016-10-28 16:00:16.704'
5066;'2016-10-28 17:43:27.807'
5090;'2016-10-28 19:55:42.620'
5114;'2016-10-28 20:01:31.413'
5135;'2016-10-28 20:03:24.376'
5153;'2016-10-28 21:32:04.926'
5174;'2016-10-28 22:24:40.531'
5195;'2016-10-28 22:57:17.075'
5214;'2016-10-29 01:41:13.963'
5234;'2016-10-29 02:50:19.540'
5257;'2016-10-29 10:00:37.459'
5278;'2016-10-29 10:08:46.671'
5300;'2016-10-29 14:21:04.944'
5323;'2016-10-29 14:45:46.213'
5343;'2016-10-29 15:12:05.487'
5365;'2016-10-29 15:12:40.315'
5387;'2016-10-29 16:01:30.924'
5408;'2016-10-29 16:22:10.074'
5431;'2016-10-29 16:26:09.928'
5455;'2016-10-29 17:13:13.015'
5476;'2016-10-29 19:34:33.459'
5500;'2016-10-29 19:41:41.118'
5524;'2016-10-30 10:19:13.940'
5548;'2016-10-30 15:18:43.504'
5571;'2016-10-30 16:59:44.221'
5592;'2016-10-30 17:42:44.745'
5614;'2016-10-30 19:49:10.020'
5635;'2016-10-30 21:43:06.843'
5652;'2016-10-30 22:10:13.135'
5674;'2016-10-31 02:33:11.914'
5694;'2016-10-31 10:37:28.890'
5715;'2016-10-31 17:45:10.385'
5736;'2016-10-31 22:20:37.732'
5757;'2016-11-01 10:21:23.851'
5778;'2016-11-01 15:42:17.673'
5800;'2016-11-01 16:47:49.227'
5819;'2016-11-01 17:31:13.120'
5837;'2016-11-02 00:41:37.883'
5858;'2016-11-02 10:33:31.979'
5878;'2016-11-02 11:21:41.427'
5899;'2016-11-02 11:55:19.374'
5917;'2016-11-02 11:59:11.364'
5939;'2016-11-02 12:10:21.283'
5958;'2016-11-02 14:29:00.486'
5981;'2016-11-02 18:38:46.700'
6004;'2016-11-02 19:40:30.765'
6025;'2016-11-02 22:39:20.237'
6050;'2016-11-02 23:47:22.739'
6076;'2016-11-03 09:26:56.037'
6102;'2016-11-03 10:10:41.110'
6128;'2016-11-03 12:52:12.154'
6179;'2016-11-03 14:31:14.473'
6205;'2016-11-03 15:48:32.866'
6229;'2016-11-03 17:20:28.093'
6253;'2016-11-03 17:41:23.857'
6277;'2016-11-03 18:16:11.983'
6302;'2016-11-03 21:14:10.313'
6328;'2016-11-04 01:36:11.750'
6352;'2016-11-04 14:51:14.938'
6376;'2016-11-04 16:20:28.049'
6401;'2016-11-04 19:09:08.209'
6427;'2016-11-04 21:18:29.113'
6452;'2016-11-05 10:43:03.925'
6477;'2016-11-05 11:29:48.985'
6501;'2016-11-05 12:26:45.192'
6530;'2016-11-05 12:57:07.360'
6557;'2016-11-05 13:48:02.664'
6582;'2016-11-06 13:22:06.291'
6606;'2016-11-06 20:20:43.510'
6631;'2016-11-06 22:23:11.373'
6656;'2016-11-06 22:41:28.038'
6683;'2016-11-07 14:55:00.533'
6708;'2016-11-07 17:26:55.926'
6729;'2016-11-07 18:29:44.050'
6752;'2016-11-07 23:47:16.381'
6776;'2016-11-08 11:50:02.688'
6800;'2016-11-08 14:01:09.818'
6825;'2016-11-08 14:25:56.306'
6850;'2016-11-08 22:16:46.982'
6872;'2016-11-08 23:50:39.029'
6895;'2016-11-08 23:59:48.002'
6917;'2016-11-09 11:39:11.107'
6943;'2016-11-09 11:56:07.579'
6967;'2016-11-09 12:54:33.175'
6991;'2016-11-09 13:23:36.514'
7014;'2016-11-09 13:30:42.720'
7036;'2016-11-09 14:17:38.781'
7058;'2016-11-09 17:37:25.685'
7084;'2016-11-09 19:56:22.769'
7110;'2016-11-09 21:19:01.080'
7135;'2016-11-10 11:15:15.990'
7163;'2016-11-10 11:23:06.055'
7187;'2016-11-10 14:25:12.278'
7214;'2016-11-10 15:43:45.705'
7283;'2016-11-10 20:37:54.874'
7309;'2016-11-10 20:57:12.978'
7331;'2016-11-10 23:12:10.944'
7353;'2016-11-11 00:30:54.146'
7376;'2016-11-11 01:38:21.057'
7401;'2016-11-11 12:54:50.682'
7428;'2016-11-11 14:57:55.669'
7455;'2016-11-11 15:45:54.764'
7480;'2016-11-11 22:14:49.247'
7502;'2016-11-11 22:34:06.499'
7525;'2016-11-11 22:54:35.653'
7548;'2016-11-12 01:44:51.328'
7571;'2016-11-12 11:15:14.646'
7595;'2016-11-12 14:48:54.846'
7644;'2016-11-13 10:53:23.525'
7671;'2016-11-13 15:35:23.326'
7697;'2016-11-13 21:31:57.569'
93069;'2017-04-12 18:10:45.647'
7723;'2016-11-13 22:05:16.351'
7749;'2016-11-14 00:03:21.032'
7851;'2016-11-14 16:16:30.922'
7877;'2016-11-14 23:50:26.849'
7903;'2016-11-15 10:28:00.391'
7926;'2016-11-15 13:21:47.426'
7952;'2016-11-15 17:56:13.441'
7978;'2016-11-15 22:10:39.515'
8004;'2016-11-16 00:22:36.070'
8032;'2016-11-16 19:07:00.516'
8055;'2016-11-16 19:47:38.668'
8082;'2016-11-17 08:50:21.824'
8132;'2016-11-17 12:41:25.290'
8159;'2016-11-17 12:55:14.402'
8184;'2016-11-17 13:45:18.842'
8212;'2016-11-17 16:53:14.090'
8240;'2016-11-17 17:07:32.270'
8268;'2016-11-17 17:52:01.993'
8297;'2016-11-17 17:52:57.411'
8323;'2016-11-17 18:02:00.887'
8352;'2016-11-17 18:53:47.809'
8377;'2016-11-17 20:12:30.333'
8404;'2016-11-17 22:27:14.179'
8430;'2016-11-17 22:34:01.105'
8457;'2016-11-17 22:34:32.105'
8483;'2016-11-17 23:05:46.988'
8509;'2016-11-17 23:06:31.879'
8532;'2016-11-18 10:46:10.485'
8554;'2016-11-18 12:33:16.110'
8605;'2016-11-18 14:20:07.940'
8629;'2016-11-18 14:36:19.548'
8653;'2016-11-18 14:36:58.579'
8703;'2016-11-18 17:59:30.805'
8730;'2016-11-18 18:45:34.977'
8757;'2016-11-18 20:33:19.806'
8780;'2016-11-18 23:19:12.092'
8804;'2016-11-18 23:40:54.084'
8829;'2016-11-19 00:23:58.053'
8852;'2016-11-19 11:13:51.895'
8875;'2016-11-19 11:20:25.875'
8902;'2016-11-19 12:02:35.587'
8928;'2016-11-19 13:08:28.326'
8952;'2016-11-19 14:18:03.124'
8976;'2016-11-19 23:54:55.682'
9000;'2016-11-20 11:57:01.458'
9026;'2016-11-20 17:55:29.987'
9052;'2016-11-20 18:32:19.326'
9099;'2016-11-20 22:28:26.822'
9123;'2016-11-21 15:34:13.058'
9151;'2016-11-21 17:14:46.657'
9173;'2016-11-21 19:22:00.408'
9199;'2016-11-21 20:05:02.984'
9223;'2016-11-21 22:11:28.221'
9275;'2016-11-21 22:42:12.815'
9301;'2016-11-21 23:20:13.383'
9326;'2016-11-21 23:34:27.739'
9352;'2016-11-22 00:02:34.751'
9374;'2016-11-22 00:03:36.756'
9400;'2016-11-22 00:10:02.982'
9425;'2016-11-22 00:38:53.682'
9448;'2016-11-22 09:54:45.170'
9472;'2016-11-22 11:40:14.416'
9496;'2016-11-22 11:43:38.732'
9521;'2016-11-22 11:46:59.484'
9543;'2016-11-22 11:51:00.923'
9571;'2016-11-22 12:00:17.612'
9598;'2016-11-22 18:10:01.190'
9621;'2016-11-22 19:31:35.662'
9645;'2016-11-22 20:31:38.198'
9670;'2016-11-22 21:29:48.585'
9696;'2016-11-23 01:49:15.431'
9720;'2016-11-23 12:58:09.681'
9743;'2016-11-23 12:59:39.037'
9768;'2016-11-23 13:31:31.965'
9793;'2016-11-23 16:06:50.829'
9819;'2016-11-23 17:43:31.221'
9847;'2016-11-23 18:46:43.128'
9871;'2016-11-23 18:54:13.909'
9894;'2016-11-23 19:28:32.431'
9918;'2016-11-24 00:35:05.778'
9944;'2016-11-24 09:32:53.934'
9968;'2016-11-24 10:12:48.482'
9990;'2016-11-24 10:34:51.631'
10011;'2016-11-24 11:05:01.010'
10035;'2016-11-24 14:05:37.691'
10059;'2016-11-24 16:01:11.738'
10082;'2016-11-24 17:23:02.518'
10103;'2016-11-24 17:52:00.223'
10125;'2016-11-24 19:26:46.857'
10169;'2016-11-25 00:50:30.041'
10193;'2016-11-25 01:18:16.154'
10218;'2016-11-25 11:28:40.012'
10243;'2016-11-25 12:26:27.856'
10264;'2016-11-25 14:24:03.968'
10285;'2016-11-25 15:50:17.873'
10310;'2016-11-25 16:33:19.770'
10336;'2016-11-25 17:29:57.523'
10360;'2016-11-25 18:26:34.363'
10384;'2016-11-25 21:20:54.560'
10406;'2016-11-25 21:40:28.065'
10432;'2016-11-25 22:47:55.160'
10458;'2016-11-25 22:48:20.493'
10483;'2016-11-26 01:04:55.437'
10510;'2016-11-26 12:33:01.969'
10537;'2016-11-26 15:32:55.951'
10563;'2016-11-26 17:07:56.256'
10590;'2016-11-26 23:30:16.998'
10618;'2016-11-27 00:41:42.097'
10668;'2016-11-27 01:50:03.718'
10689;'2016-11-27 11:34:05.557'
10711;'2016-11-27 14:51:51.301'
10731;'2016-11-27 16:14:18.346'
10755;'2016-11-28 09:10:57.320'
10778;'2016-11-28 10:01:52.955'
10802;'2016-11-28 10:02:32.799'
10826;'2016-11-28 12:15:20.757'
10873;'2016-11-28 22:02:43.781'
10918;'2016-11-29 10:22:41.625'
10964;'2016-11-29 14:07:56.520'
10986;'2016-11-29 14:28:05.745'
11009;'2016-11-29 17:08:07.889'
11033;'2016-11-29 19:26:35.831'
11058;'2016-11-29 20:14:09.614'
11107;'2016-11-30 11:24:39.532'
11129;'2016-11-30 12:01:17.646'
11150;'2016-11-30 15:16:22.059'
11172;'2016-11-30 23:05:39.357'
11197;'2016-12-01 12:14:56.338'
11221;'2016-12-01 13:30:52.188'
11245;'2016-12-01 14:15:56.734'
11270;'2016-12-01 15:03:28.701'
11321;'2016-12-01 15:37:02.473'
11344;'2016-12-01 15:40:45.220'
11369;'2016-12-01 15:50:33.708'
11394;'2016-12-01 17:21:16.910'
11420;'2016-12-01 19:23:34.540'
11446;'2016-12-01 21:39:57.710'
11470;'2016-12-01 22:37:25.726'
11520;'2016-12-02 01:28:01.697'
11544;'2016-12-02 09:29:07.910'
11568;'2016-12-02 12:02:24.572'
11593;'2016-12-02 13:17:46.676'
11618;'2016-12-02 13:18:30.560'
11643;'2016-12-02 13:38:18.013'
11671;'2016-12-02 13:46:24.948'
11699;'2016-12-02 14:10:37.157'
11724;'2016-12-02 15:12:37.269'
11749;'2016-12-02 15:29:21.114'
11774;'2016-12-02 16:18:52.462'
11819;'2016-12-02 18:46:38.751'
11842;'2016-12-02 21:21:07.870'
11868;'2016-12-02 21:49:48.174'
11893;'2016-12-02 23:21:17.118'
11918;'2016-12-02 23:34:05.689'
11943;'2016-12-02 23:40:46.202'
11971;'2016-12-03 00:38:40.959'
11997;'2016-12-03 09:59:18.964'
12021;'2016-12-03 10:23:16.101'
12047;'2016-12-03 13:37:27.591'
12069;'2016-12-03 13:54:10.047'
12092;'2016-12-03 21:13:41.110'
12117;'2016-12-04 11:15:11.763'
12142;'2016-12-04 15:50:19.684'
12166;'2016-12-04 16:10:14.412'
12189;'2016-12-04 20:01:48.752'
12214;'2016-12-04 20:40:46.848'
12240;'2016-12-04 22:48:07.164'
12267;'2016-12-05 01:01:43.445'
12293;'2016-12-05 11:31:03.236'
12369;'2016-12-05 12:06:43.466'
12346;'2016-12-05 11:51:12.439'
12392;'2016-12-05 18:05:49.463'
12417;'2016-12-05 23:11:40.174'
12442;'2016-12-06 11:40:28.103'
12468;'2016-12-06 14:49:04.111'
12494;'2016-12-06 14:51:32.987'
12520;'2016-12-06 19:45:15.883'
12542;'2016-12-06 21:31:31.643'
12567;'2016-12-06 22:16:51.585'
12619;'2016-12-07 00:18:36.994'
12666;'2016-12-07 10:46:44.932'
12693;'2016-12-07 20:29:56.118'
12722;'2016-12-08 00:32:55.554'
12747;'2016-12-08 00:41:42.813'
12772;'2016-12-08 08:44:17.569'
12798;'2016-12-08 10:35:07.763'
12823;'2016-12-08 13:15:19.026'
12851;'2016-12-08 13:20:59.943'
12876;'2016-12-08 13:25:30.160'
12902;'2016-12-08 13:34:29.804'
12927;'2016-12-08 14:20:56.966'
12952;'2016-12-08 14:24:40.129'
12975;'2016-12-08 15:30:44.589'
13000;'2016-12-08 17:06:05.966'
13026;'2016-12-08 18:37:01.957'
13054;'2016-12-08 20:30:07.183'
13081;'2016-12-08 21:22:04.549'
13106;'2016-12-09 00:29:29.998'
13132;'2016-12-09 01:28:01.894'
13153;'2016-12-09 13:12:07.658'
13180;'2016-12-09 13:13:51.678'
13206;'2016-12-09 16:05:27.765'
13228;'2016-12-09 16:27:49.300'
13251;'2016-12-09 17:49:28.377'
13275;'2016-12-09 18:23:55.502'
13302;'2016-12-09 20:25:45.844'
13330;'2016-12-10 04:52:03.746'
13356;'2016-12-10 07:17:53.253'
13407;'2016-12-10 15:35:53.086'
13431;'2016-12-10 18:03:21.704'
13454;'2016-12-10 18:49:54.709'
13479;'2016-12-10 22:49:51.868'
13503;'2016-12-11 01:30:58.867'
13529;'2016-12-11 10:47:49.303'
13553;'2016-12-11 12:29:21.491'
13579;'2016-12-12 10:08:42.087'
13604;'2016-12-12 11:17:45.679'
13631;'2016-12-12 13:27:27.576'
13657;'2016-12-12 13:33:04.472'
13681;'2016-12-12 14:07:03.438'
13708;'2016-12-12 18:49:02.022'
13734;'2016-12-12 21:25:51.406'
13758;'2016-12-12 21:39:48.447'
13783;'2016-12-12 23:02:52.746'
13809;'2016-12-13 12:25:41.287'
13832;'2016-12-13 13:24:38.216'
13856;'2016-12-13 14:05:08.085'
13879;'2016-12-13 14:05:23.056'
13902;'2016-12-13 14:09:46.913'
13926;'2016-12-13 14:13:17.293'
13953;'2016-12-13 14:23:58.775'
13976;'2016-12-13 15:29:28.100'
14001;'2016-12-13 15:39:41.461'
14046;'2016-12-13 17:49:00.641'
14068;'2016-12-13 17:54:59.752'
14088;'2016-12-13 18:03:12.645'
14112;'2016-12-13 18:17:05.737'
14134;'2016-12-13 19:36:35.570'
14160;'2016-12-13 19:55:11.850'
14184;'2016-12-13 22:35:42.760'
14210;'2016-12-13 23:02:13.633'
14234;'2016-12-14 01:11:10.690'
14256;'2016-12-14 02:30:55.418'
14280;'2016-12-14 10:55:16.790'
14342;'2016-12-14 12:53:40.550'
14365;'2016-12-14 13:21:45.128'
14388;'2016-12-14 13:26:42.489'
14409;'2016-12-14 13:29:05.789'
14430;'2016-12-14 13:42:46.487'
14455;'2016-12-14 14:27:04.312'
14478;'2016-12-14 14:43:11.658'
14502;'2016-12-14 15:00:07.698'
14526;'2016-12-14 16:30:35.205'
14550;'2016-12-14 18:54:11.118'
14574;'2016-12-14 19:08:12.595'
14596;'2016-12-14 19:09:17.672'
14620;'2016-12-14 19:12:06.994'
14644;'2016-12-14 19:56:16.143'
14668;'2016-12-14 21:35:31.822'
14692;'2016-12-14 23:07:15.771'
14716;'2016-12-15 00:36:53.982'
14741;'2016-12-15 01:14:11.819'
14764;'2016-12-15 01:17:23.462'
14787;'2016-12-15 01:57:59.511'
14812;'2016-12-15 11:50:44.817'
14838;'2016-12-15 13:04:16.081'
14890;'2016-12-15 14:01:16.776'
14916;'2016-12-15 14:02:42.928'
14942;'2016-12-15 16:57:52.820'
14969;'2016-12-15 17:31:06.748'
14997;'2016-12-15 21:53:04.179'
15023;'2016-12-16 00:30:45.954'
15047;'2016-12-16 00:54:43.078'
15074;'2016-12-16 04:22:53.679'
15101;'2016-12-16 11:06:39.479'
15124;'2016-12-16 11:13:18.976'
15148;'2016-12-16 11:15:30.663'
15173;'2016-12-16 11:22:43.285'
15198;'2016-12-16 11:56:45.724'
15222;'2016-12-16 12:54:45.902'
15248;'2016-12-16 12:58:08.275'
15273;'2016-12-16 14:35:26.737'
15297;'2016-12-16 15:37:53.689'
15324;'2016-12-16 16:08:33.941'
15351;'2016-12-16 16:11:52.615'
15380;'2016-12-16 16:29:51.110'
15403;'2016-12-16 16:57:20.310'
15428;'2016-12-16 17:10:40.020'
15455;'2016-12-16 17:18:52.307'
15477;'2016-12-16 17:48:33.737'
15501;'2016-12-16 18:14:06.023'
15525;'2016-12-16 19:03:38.886'
15548;'2016-12-16 19:16:16.475'
15572;'2016-12-16 21:33:14.659'
15594;'2016-12-16 22:02:05.585'
15618;'2016-12-16 22:38:22.728'
15642;'2016-12-16 22:59:47.275'
15666;'2016-12-17 00:21:38.287'
15689;'2016-12-17 00:38:39.002'
15711;'2016-12-17 00:40:42.203'
15732;'2016-12-17 01:23:02.296'
15755;'2016-12-17 01:28:10.190'
15779;'2016-12-17 01:47:53.077'
15804;'2016-12-17 05:44:36.196'
15831;'2016-12-17 11:49:09.202'
15858;'2016-12-17 11:55:11.759'
15883;'2016-12-17 12:37:56.588'
15905;'2016-12-17 12:45:08.355'
15927;'2016-12-17 12:56:35.867'
15949;'2016-12-17 13:39:15.733'
15974;'2016-12-17 14:47:47.196'
15999;'2016-12-17 15:01:52.076'
16023;'2016-12-17 15:19:33.787'
16048;'2016-12-17 15:47:34.134'
16074;'2016-12-17 16:22:32.021'
16098;'2016-12-17 16:48:42.528'
83409;'2017-04-04 14:08:08.750'
16123;'2016-12-17 18:55:32.453'
16148;'2016-12-17 21:54:09.934'
16172;'2016-12-17 22:52:37.628'
16196;'2016-12-17 23:03:31.578'
619666;'2019-08-09 23:09:06.822'
16222;'2016-12-18 01:39:47.525'
16245;'2016-12-18 02:52:51.795'
16267;'2016-12-18 17:17:51.404'
16291;'2016-12-18 17:42:43.538'
16315;'2016-12-18 19:18:25.547'
16338;'2016-12-18 20:53:57.050'
16364;'2016-12-18 22:12:53.028'
16391;'2016-12-18 22:24:16.884'
16415;'2016-12-18 22:48:14.102'
651027;'2019-09-24 19:53:41.913'
16438;'2016-12-18 23:06:06.445'
16460;'2016-12-18 23:20:05.285'
16483;'2016-12-19 00:03:40.136'
16507;'2016-12-19 00:27:56.382'
16533;'2016-12-19 12:38:33.309'
16557;'2016-12-19 12:51:51.195'
16584;'2016-12-19 12:53:16.936'
16610;'2016-12-19 13:45:34.670'
16635;'2016-12-19 13:55:15.524'
16660;'2016-12-19 15:41:27.750'
104111;'2017-04-27 12:19:12.309'
16684;'2016-12-19 16:33:55.153'
16709;'2016-12-19 16:36:36.908'
16736;'2016-12-19 17:46:36.631'
711202;'2019-12-18 10:50:25.063'
16762;'2016-12-19 19:00:18.605'
16787;'2016-12-19 19:01:12.076'
16810;'2016-12-19 19:33:00.068'
16832;'2016-12-19 20:34:15.034'
16855;'2016-12-19 20:58:58.747'
16879;'2016-12-19 21:03:36.057'
16903;'2016-12-19 21:12:26.373'
16926;'2016-12-19 21:33:58.787'
16952;'2016-12-19 21:36:04.577'
16975;'2016-12-19 22:44:00.670'
16997;'2016-12-19 23:15:36.409'
17023;'2016-12-19 23:23:00.863'
17046;'2016-12-19 23:23:58.164'
17068;'2016-12-19 23:38:13.527'
17090;'2016-12-19 23:43:16.440'
17116;'2016-12-20 00:41:24.283'
