user_key,SUM Service price,Count of bookings,Year,Count of business key
1041897,0,1,2020,1
1041953,0,2,2020,1
1042001,0,1,2020,1
1042113,26,1,2020,1
104217,12,2,2019,2
104238,10,1,2017,1
1042415,0,2,2020,1
1042519,0,1,2020,1
1042726,0,1,2020,1
10427976,0,1,2020,1
1043100,0,1,2020,1
1043132,0,1,2020,1
1043140,0,2,2020,2
1043241,0,1,2020,1
1043265,0,2,2020,1
1043281,0,1,2020,1
1043401,8,1,2020,1
1043839,0,1,2020,1
1043943,0,2,2020,1
1044015,0,2,2020,1
1044036,60,1,2019,1
10441902,0,1,2020,1
10441927,0,1,2019,1
10441943,0,1,2020,1
10441957,0,1,2020,1
10441967,0,1,2020,1
10441990,55,1,2018,1
10441996,0,1,2020,1
10442068,0,1,2020,1
1045018,0,1,2020,1
1045273,0,1,2020,1
1045297,0,1,2020,1
10455057,0,1,2020,1
10455109,0,1,2020,1
10455164,0,1,2020,1
10455193,0,1,2020,1
1045688,0,1,2020,1
1046219,0,1,2020,1
1046259,0,2,2020,1
104664,15,3,2020,2
1047160,0,1,2020,1
1047472,0,1,2020,1
10476531,0,1,2020,1
10476574,9,1,2020,1
10476676,0,1,2020,1
1047703,0,1,2020,1
1048259,0,1,2020,1
1048586,0,2,2020,1
104892,40,2,2019,2
10494983,0,1,2020,1
10494995,0,1,2020,1
10495004,0,1,2020,1
10495058,20,1,2020,1
10495098,0,1,2020,1
10495107,0,1,2020,1
10495216,0,1,2020,1
10495255,0,1,2020,1
1049645,0,1,2020,1
1049757,0,1,2020,1
1050356,0,1,2020,1
105077,12,1,2018,1
1050974,0,4,2020,2
1050998,0,1,2020,1
10510,0,2,2020,1
1051006,20,1,2020,1
1051022,0,1,2020,1
1051078,0,2,2020,1
1051134,0,1,2020,1
1051166,21,1,2020,1
1051317,0,1,2020,1
1051413,0,1,2020,1
10514625,0,1,2020,1
1051485,8,1,2020,1
1051676,25,1,2020,1
10530867,0,1,2020,1
1053200,0,1,2020,1
1053280,0,1,2020,1
1053288,0,1,2020,1
1053655,0,1,2020,1
1053727,0,1,2020,1
1053743,0,1,2020,1
1054015,0,1,2020,1
1054308,0,1,2020,1
10544337,0,1,2020,1
10544339,160,1,2020,1
105506,26,3,2018,2
1055194,0,1,2020,1
1055434,20,1,2020,1
10554665,10,1,2020,1
10554685,0,2,2020,2
10554711,0,1,2020,1
10554737,0,1,2020,1
10554798,0,1,2020,1
10554843,0,1,2020,1
10554923,0,1,2020,1
10555051,0,1,2020,1
1056961,26,1,2020,1
105711,29,2,2019,2
1057161,0,1,2020,1
10571800,0,1,2020,1
10571926,0,1,2020,1
10571968,18,1,2020,1
105753,12,2,2019,2
1057542,0,1,2020,1
1057884,0,1,2020,1
1058311,0,1,2020,1
105835,23,3,2019,1
1058447,0,1,2020,1
1058574,0,1,2020,1
1058886,0,1,2020,1
1058910,0,1,2020,1
1058958,0,2,2020,2
10589667,0,1,2020,1
1059437,0,1,2020,1
1059461,0,1,2020,1
1059556,0,1,2020,1
1060024,18,1,2020,1
1060040,0,1,2020,1
106035,12,2,2020,2
1060535,0,1,2020,1
1060615,0,1,2020,1
1060791,0,1,2020,1
1061444,40,1,2020,1
1061861,0,1,2020,1
1061869,0,1,2020,1
1061885,40,1,2019,1
1062148,0,1,2020,1
1062156,0,1,2020,1
1062408,0,1,2020,1
1062416,0,1,2020,1
1063109,0,2,2020,1
1063141,13,1,2020,1
1063213,0,2,2020,1
106323,15,1,2017,1
1063405,13,1,2020,1
1063509,15,1,2020,1
1063557,0,2,2020,1
1063645,0,1,2020,1
1063764,0,1,2020,1
1063962,0,1,2020,1
1064033,0,1,2020,1
1064121,0,2,2020,1
1064574,18,1,2020,1
1064774,0,1,2020,1
106510,24,2,2018,2
106531,12,1,2018,1
1065843,0,1,2020,1
1065963,0,1,2020,1
1066017,0,1,2020,1
1066169,0,1,2020,1
10662372,0,1,2019,1
1066925,14,1,2020,1
1067011,10,1,2020,1
1067911,14,1,2020,1
1067919,0,1,2020,1
1068119,0,1,2020,1
1068135,0,1,2020,1
1068715,0,1,2020,1
1068731,0,1,2020,1
1068827,0,1,2020,1
1069219,0,1,2020,1
1069343,0,1,2020,1
1069391,0,1,2020,1
1069623,0,1,2020,1
1069797,0,1,2020,1
1070021,0,1,2020,1
1070116,0,2,2020,1
1070140,0,1,2020,1
1070315,0,2,2020,1
1071098,0,1,2020,1
1072032,0,1,2020,1
1072104,0,1,2020,1
1072128,0,1,2020,1
1072207,0,1,2020,1
1072359,20,1,2020,1
10731,15,2,2019,2
1073276,0,1,2020,1
1073443,0,1,2020,1
1073631,0,1,2020,1
1073799,0,1,2020,1
1073988,0,1,2020,1
1074093,0,1,2020,1
1074274,0,1,2020,1
107446,15,1,2017,1
10752026,0,1,2020,1
10755,25,1,2020,1
1075793,0,1,2020,1
1075807,0,1,2020,1
1076359,0,1,2020,1
1076366,0,1,2020,1
1076429,0,2,2020,1
1076950,0,1,2020,1
1076957,0,1,2020,1
1077186,0,1,2020,1
1077716,0,1,2020,1
1077793,0,1,2020,1
1077842,0,1,2020,1
1078245,80,4,2020,2
1078301,0,1,2020,1
1079033,0,1,2020,1
1079243,0,1,2020,1
1079256,15,1,2020,1
1079612,0,1,2020,1
1080310,0,1,2020,1
1080706,15,1,2020,1
1080940,0,2,2020,1
1081401,0,1,2020,1
1081520,0,1,2020,1
1081582,0,1,2020,1
1081704,0,1,2020,1
1081911,0,1,2020,1
1081960,10,2,2020,1
1082247,0,1,2020,1
10824897,0,1,2020,1
1082572,0,1,2020,1
10826,12,1,2018,1
1082766,0,1,2020,1
1083310,0,1,2020,1
10839517,0,1,2020,1
1084924,0,1,2020,1
1085007,0,1,2020,1
1085056,0,1,2020,1
1085227,0,1,2020,1
1085269,0,1,2020,1
1085311,0,1,2020,1
10853192,0,1,2020,1
108533,17,1,2020,1
1085374,0,1,2020,1
1085563,0,1,2020,1
1085584,0,1,2020,1
1085624,0,1,2020,1
1085813,85,2,2020,1
1086039,40,3,2020,1
1086074,0,1,2020,1
1086137,0,1,2020,1
1086521,0,2,2020,1
1086703,0,1,2020,1
1087432,0,1,2020,1
1087765,0,1,2020,1
1087821,0,1,2020,1
1087961,0,1,2020,1
1088486,16,1,2020,1
1088498,0,3,2020,2
1089075,0,1,2020,1
1089473,0,1,2020,1
108956,0,1,2018,1
1090102,0,1,2020,1
1090736,0,1,2020,1
1090812,0,1,2020,1
1091106,28,1,2020,1
1091491,0,1,2020,1
1091911,0,1,2020,1
1092135,0,1,2020,1
1092448,21,1,2020,1
1092532,0,1,2020,1
1093167,0,1,2020,1
1093574,0,1,2020,1
1093859,0,1,2020,1
10943167,0,1,2020,1
1094516,0,1,2020,1
1094668,0,1,2020,1
1094800,0,1,2020,1
1094849,0,1,2020,1
10954405,0,1,2020,1
1095943,0,1,2020,1
109608,15,2,2019,1
1096111,0,1,2020,1
1096635,0,1,2020,1
1097114,0,1,2020,1
1097275,0,1,2020,1
1097338,0,1,2020,1
1097352,0,1,2020,1
1097415,0,1,2020,1
1097422,0,1,2020,1
1097555,0,1,2020,1
1097898,21,1,2020,1
109790,15,1,2019,1
1098484,0,1,2020,1
1098932,0,1,2020,1
1098973,0,1,2020,1
1099258,0,1,2020,1
1099300,40,2,2020,1
1099818,0,2,2020,1
1099867,0,1,2020,1
110161,0,1,2020,1
11033,0,1,2020,1
110605,20,1,2019,1
111508,15,1,2018,1
111765,0,1,2017,1
112022,15,1,2017,1
112182,30,2,2019,2
11221,35,5,2019,4
112262,29,2,2018,2
112361,15,3,2017,1
112675,15,1,2017,1
112822,12,1,2018,1
112842,41,4,2020,2
112862,19,1,2018,1
113115,24,2,2019,2
113665,8.5,1,2017,1
113789,65,7,2020,4
114224,15,1,2019,1
114346,13,1,2019,1
114570,15,4,2020,3
115230,15,1,2017,1
115353,16,1,2019,1
115454,29,2,2020,2
115927,14,1,2017,1
11593,17,1,2019,1
115967,60,4,2020,2
116066,27,4,2018,2
116106,20,1,2019,1
116166,0,2,2019,2
116225,12,1,2017,1
116244,59,5,2020,3
116501,29,2,2020,1
116583,27,2,2018,2
116977,42,2,2019,2
117548,45,3,2020,2
117714,0,1,2020,1
117733,104,8,2020,4
117795,45,4,2019,3
118125,18,1,2017,1
118251,0,1,2018,1
118623,22,1,2019,1
119119,30,3,2019,3
119365,45,4,2019,2
120585,15,1,2018,1
120605,12,1,2018,1
121073,33,3,2019,2
121135,15,1,2019,1
121384,13,2,2017,1
121447,29,3,2019,3
121571,15,1,2017,1
122070,44,4,2019,2
122669,13,1,2018,1
122834,10,2,2020,2
122896,15,1,2019,1
12293,0,1,2018,1
123162,15,1,2020,1
123663,12,1,2018,1
12392,0,2,2020,2
123921,0,1,2020,1
12417,14,1,2017,1
124241,0,1,2020,1
124300,12,1,2019,1
124456,15,1,2017,1
124698,0,1,2020,1
124736,15,1,2018,1
124791,32,2,2020,2
125063,15,1,2019,1
125163,12,2,2019,2
125222,0,2,2019,2
125555,59,7,2020,5
125575,12,1,2017,1
125751,30,2,2019,2
125771,0,2,2019,2
125892,0,2,2019,2
126158,29,2,2017,2
126323,74,9,2020,4
126594,15,2,2019,1
126820,30,2,2018,1
126881,57,4,2019,3
12693,27,3,2019,3
127128,0,1,2018,1
127315,15,1,2020,1
127437,25,2,2020,2
127744,35,3,2020,2
128056,13,1,2019,1
128096,15,1,2018,1
128219,0,11,2020,8
128524,14,1,2018,1
128935,20,1,2017,1
129121,31,2,2019,2
129163,30,2,2017,1
129596,30,3,2020,2
129680,42,4,2018,2
13000,12,1,2017,1
130191,0,2,2020,2
130482,27,2,2019,2
13081,14,1,2017,1
131059,0,1,2019,1
131351,30,4,2018,2
132170,0,1,2020,1
132746,16,2,2020,2
132809,0,1,2017,1
132911,13,1,2017,1
133239,20,1,2019,1
133301,12,1,2019,1
133445,20,1,2019,1
133508,30,3,2018,1
133817,13,1,2019,1
133858,14,3,2018,2
133919,15,2,2020,2
13431,14,1,2018,1
134514,15,1,2017,1
134534,10,1,2017,1
134657,17,1,2019,1
134926,30,3,2019,3
13503,12,1,2019,1
135209,18,1,2017,1
135248,0,1,2020,1
135547,10,1,2017,1
135683,15,1,2018,1
135762,19,2,2017,1
135941,15,1,2018,1
136682,15,1,2019,1
136976,14,2,2018,2
137256,0,2,2019,2
137368,92,7,2019,2
137540,14,1,2018,1
137718,30,2,2018,1
137778,34,2,2020,1
13783,14,5,2020,4
138262,12,2,2018,1
138600,70,11,2019,2
138967,38,2,2017,1
139264,15,1,2020,1
139284,12,1,2017,1
139442,23,1,2020,1
13953,12,2,2019,2
139615,0,3,2019,2
139948,44,4,2018,1
14001,27,2,2019,2
140169,10,1,2018,1
140327,20,1,2019,1
14046,0,1,2020,1
140607,15,1,2019,1
141298,51,3,2018,1
141936,0,1,2017,1
142040,30,2,2018,2
142121,0,1,2019,1
142181,14,1,2018,1
142321,12,1,2017,1
143021,0,1,2017,1
143872,37,5,2019,3
143968,41,3,2019,3
144200,0,1,2020,1
144260,12,1,2018,1
144433,15,1,2017,1
144582,43,5,2019,3
144678,0,3,2020,2
144718,45,4,2019,2
145181,13,1,2017,1
14526,12,2,2019,2
146183,30,2,2020,2
14620,30,4,2017,1
146203,14,1,2018,1
146460,12,1,2017,1
146748,15,3,2019,2
146962,15,1,2018,1
147060,15,2,2019,2
147197,12,1,2018,1
147386,0,1,2019,1
147622,35,3,2017,1
147876,13,2,2020,2
148953,115,5,2019,2
149183,47,3,2018,2
149468,15,1,2018,1
149587,39,2,2019,2
149747,14,1,2018,1
149901,14,1,2018,1
150110,14,1,2017,1
150718,35,2,2020,2
151253,25,2,2019,2
151366,24,2,2019,2
151422,12,1,2017,1
151777,12,1,2017,1
151954,33,2,2020,2
152775,12,2,2017,2
153111,51,4,2020,3
153264,96,6,2020,5
153501,0,1,2017,1
153541,65,5,2020,4
153761,43,3,2020,1
153861,24,1,2020,1
153901,13,1,2020,1
153978,30,3,2018,1
15403,45,5,2018,2
15428,0,1,2020,1
154327,30,2,2019,2
154423,60,7,2019,4
154679,28,2,2019,2
155132,20,1,2019,1
155465,12,1,2019,1
155749,51,3,2019,2
155942,0,1,2017,1
155999,15,1,2018,1
156229,16,1,2017,1
156325,35,4,2019,2
156562,42,3,2019,2
156582,157,9,2020,5
156661,12,1,2018,1
156896,15,1,2019,1
157148,74,7,2020,4
15732,13,1,2017,1
157396,14,1,2018,1
157415,20,1,2020,1
157433,18,1,2017,1
157751,44,2,2020,2
15804,15,1,2017,1
158473,100,8,2020,6
158507,38,3,2018,2
158561,0,1,2020,1
158595,14,1,2017,1
158716,19,1,2018,1
158800,33,3,2020,3
15883,15,1,2017,1
158929,30,3,2020,3
158993,0,5,2020,5
159042,15,1,2019,1
159340,0,2,2017,1
159499,35,1,2019,1
159569,19,1,2017,1
160277,38,2,2020,2
160346,25,1,2018,1
160381,20,1,2019,1
160555,55,4,2018,1
160642,20,2,2020,2
161568,64,3,2020,3
161639,14,1,2018,1
161656,12,1,2017,1
16172,14,1,2017,1
16222,25,3,2018,3
162342,22,2,2018,1
162413,15,1,2017,1
162659,62,6,2020,3
162924,30,2,2019,2
162978,14,1,2020,1
163066,36,4,2019,4
163102,71,6,2020,4
163136,15,1,2019,1
163241,92,5,2019,2
163555,53,4,2018,1
163590,79,10,2019,3
164410,0,1,2018,1
164571,15,1,2017,1
164725,16,1,2018,1
165028,56,3,2019,2
16507,13,1,2017,1
166261,46,3,2019,2
166307,13,1,2020,1
166512,0,1,2018,1
166992,0,2,2019,1
167203,15,1,2019,1
167947,73,5,2019,4
168129,10,1,2020,1
168213,15,1,2017,1
168230,0,4,2020,4
168361,15,1,2017,1
168526,30,4,2019,2
168775,14,1,2018,1
168860,15,1,2018,1
168909,0,1,2020,1
169409,57,5,2019,3
169539,0,1,2020,1
169604,10,1,2018,1
16997,15,1,2018,1
170033,10,2,2018,2
170183,12,2,2018,1
170373,17,1,2018,1
170405,65,8,2019,5
170919,15,1,2018,1
171474,50,2,2019,2
171537,0,1,2020,1
172388,85,1,2019,1
172499,0,2,2018,1
172515,14,1,2018,1
172656,12,1,2018,1
172704,10,1,2019,1
172891,18,3,2017,1
173343,20,1,2018,1
173358,12,1,2018,1
173482,20,1,2019,1
173699,14,1,2018,1
173827,45,1,2017,1
173922,25,2,2020,2
173938,15,1,2019,1
174171,16,3,2019,1
174521,0,3,2019,3
174550,24,3,2020,3
174565,0,2,2018,2
174689,22,4,2018,2
175223,15,2,2019,1
175753,0,4,2019,2
175833,10,1,2017,1
175881,13,1,2018,1
176005,56,4,2019,2
176336,36,2,2018,1
176368,0,2,2019,1
17655,60,4,2019,4
176778,54,3,2019,2
176794,70,4,2019,3
176873,47,4,2020,3
177073,10,1,2017,1
177168,0,1,2020,1
177275,34,3,2020,1
177430,15,2,2019,2
177871,0,1,2020,1
177900,15,1,2018,1
177975,0,3,2019,2
17799,27,2,2020,2
178165,15,1,2017,1
178501,35,2,2018,1
178560,14,1,2017,1
178676,0,1,2018,1
178748,60,5,2020,4
179021,185,2,2018,2
179066,14,1,2018,1
179190,15,1,2017,1
179307,15,1,2018,1
179588,15,2,2020,1
180209,15,2,2019,2
180873,8,1,2018,1
181082,10,1,2017,1
181332,15,4,2019,1
181421,15,1,2017,1
181706,205,4,2018,3
18177,0,2,2020,2
182108,17,1,2020,1
183101,12,1,2018,1
183221,21,1,2019,1
183250,15,1,2019,1
183657,12,1,2017,1
183864,30,1,2018,1
183888,10,1,2020,1
183944,8,1,2017,1
183958,30,6,2020,3
184381,29,2,2019,2
184736,25,2,2019,2
184780,41,3,2019,3
18483,14,1,2017,1
185103,0,1,2020,1
185133,35,1,2018,1
185192,84,6,2020,5
185267,52,3,2019,3
185326,0,1,2019,1
185718,82,4,2019,3
185759,80,2,2019,2
186066,114,11,2020,6
186214,32,1,2019,1
186378,12,1,2017,1
18641,0,1,2020,1
186572,15,1,2018,1
186941,13,1,2020,1
187074,15,1,2018,1
187162,13,1,2020,1
187191,23,1,2017,1
187398,0,1,2019,1
187852,50,3,2019,2
187867,65,2,2020,2
187927,68,4,2020,3
187941,30,2,2020,2
187969,0,2,2018,2
188193,29,3,2020,3
18820,53,4,2018,3
188217,30,2,2018,2
188229,28,1,2020,1
188253,15,1,2019,1
188303,25,1,2018,1
188353,35,2,2018,1
188392,14,1,2019,1
188694,15,1,2019,1
188706,0,1,2018,1
188870,60,2,2018,1
189151,14,1,2017,1
18924,53,5,2019,3
189285,30,3,2019,1
189728,20,1,2020,1
18976,13,1,2018,1
190667,14,2,2019,2
190758,0,1,2020,1
190920,25,5,2020,3
190960,34,2,2019,2
191124,10,2,2018,2
191221,62,5,2020,3
191346,0,1,2019,1
191649,40,2,2019,2
192712,35,1,2017,1
192851,14,1,2018,1
193511,65,2,2019,2
193762,17,1,2017,1
193804,15,1,2018,1
193832,18,1,2020,1
194027,30,2,2019,1
194068,0,1,2020,1
194306,22,2,2018,1
194472,15,1,2018,1
194486,0,2,2017,1
19464,15,2,2019,2
194731,0,1,2018,1
194953,24,1,2018,1
195414,25,1,2017,1
195455,33,4,2020,4
195522,13,1,2018,1
195547,49,4,2019,2
195837,40,2,2018,1
195865,14,1,2018,1
19588,15,1,2018,1
196017,15,1,2017,1
196252,15,1,2017,1
19638,0,1,2020,1
196389,15,2,2020,2
196445,10,1,2019,1
196654,14,1,2018,1
196668,13,1,2017,1
196889,72,4,2020,2
197220,0,3,2020,3
197302,15,1,2019,1
197484,0,1,2020,1
197759,33,3,2019,2
19790,12,1,2019,1
197969,0,3,2019,3
198244,12,1,2017,1
198258,0,1,2020,1
198342,15,1,2017,1
198467,0,4,2019,4
198725,0,5,2020,4
198767,15,1,2017,1
198781,20,1,2019,1
198823,20,1,2018,1
198865,35,2,2019,2
199057,18,1,2017,1
199113,5,6,2019,5
199126,12,1,2018,1
199252,12,3,2019,2
199280,25,2,2018,1
199460,35,1,2017,1
199695,25,1,2019,1
199835,15,2,2017,1
199877,44,4,2019,3
199905,18,1,2020,1
200235,30,2,2018,2
200442,7,1,2018,1
200469,10,3,2017,1
200524,15,2,2020,2
200635,17,2,2020,2
200705,20,1,2019,1
200966,20,2,2018,1
201100,26,5,2020,4
201249,30,2,2017,1
201370,0,1,2017,1
201606,0,1,2020,1
201629,150,1,2019,1
201643,12,1,2018,1
201727,18,1,2019,1
201851,26,2,2020,2
202211,15,1,2018,1
202638,60,4,2020,3
203215,33,2,2020,2
203395,0,2,2018,1
203465,15,1,2017,1
203479,0,1,2018,1
203507,18,1,2018,1
203577,26,3,2018,2
203656,0,1,2020,1
203821,30,3,2020,2
203835,15,1,2017,1
203991,17,2,2020,1
204663,38,2,2019,2
204827,8,1,2018,1
205131,10,1,2017,1
205186,12,1,2017,1
205270,20,1,2018,1
205573,30,2,2019,2
205629,29,4,2019,2
205725,15,1,2017,1
206086,19,1,2018,1
206165,59,4,2019,2
206281,10,1,2017,1
206307,15,1,2018,1
206358,15,1,2018,1
206487,29,2,2020,2
206527,10,1,2018,1
206773,50,1,2018,1
206871,19,1,2018,1
206897,59,5,2020,4
206910,17,1,2019,1
207036,20,1,2017,1
20733,15,1,2019,1
207356,0,3,2018,3
207618,15,2,2018,1
207673,39,4,2020,3
207796,15,1,2020,1
207810,84,5,2020,4
207838,50,2,2017,1
208019,40,4,2020,3
208073,22,2,2018,2
208847,12,1,2017,1
208861,0,1,2020,1
208889,0,1,2018,1
208999,45,5,2019,4
209153,30,3,2019,2
209195,17,2,2018,1
20931,16,1,2020,1
209320,30,3,2018,2
209515,22,1,2018,1
209595,17,1,2017,1
209693,12,1,2018,1
209832,14,1,2018,1
209902,20,2,2018,1
210013,45,10,2020,5
210037,30,2,2019,2
210119,10,1,2018,1
210167,14,1,2017,1
210299,22,1,2019,1
21034,17,1,2019,1
210412,0,2,2019,2
210425,0,1,2018,1
210438,32,6,2018,2
210594,25,1,2019,1
210715,12,1,2019,1
210823,35,3,2020,2
210943,0,1,2020,1
210967,0,1,2017,1
211274,20,1,2018,1
211313,30,2,2020,2
211454,32,2,2020,2
211466,20,1,2020,1
211570,13,1,2018,1
211646,20,1,2019,1
211710,18,3,2018,1
211759,18,1,2018,1
212005,38,3,2019,3
212158,13,1,2020,1
212172,15,3,2018,1
212213,14,1,2018,1
212353,0,1,2020,1
212463,15,2,2019,2
21267,27,3,2019,3
212710,23,1,2020,1
213029,50,2,2018,1
213083,0,1,2020,1
213125,60,2,2019,2
21322,15,2,2017,1
213246,17,1,2019,1
213524,13,1,2017,1
213603,17,1,2017,1
213715,75,2,2019,2
21374,13,1,2017,1
213756,15,1,2017,1
213965,39,3,2018,2
214100,20,1,2019,1
214184,20,1,2019,1
214498,15,1,2019,1
214789,15,1,2018,1
215080,20,1,2018,1
215274,20,1,2018,1
215522,15,1,2017,1
215605,0,1,2017,1
215633,0,1,2018,1
215881,18,2,2018,1
21597,14,1,2020,1
216103,0,11,2019,6
216145,0,5,2019,3
216214,0,11,2019,4
216283,27,2,2018,1
216353,0,1,2017,1
216394,0,12,2018,2
216533,26,1,2018,1
216634,10,2,2018,1
216646,18,2,2018,1
